date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,32.7,32.7,32.7,32.7,32.7,400,,,,,,,
2023-07-28,32.65,32.65,32.65,32.65,32.65,0,,,,,,,
2023-07-27,32.65,32.65,32.65,32.65,32.65,800,,,,,,,
2023-07-26,31.71,31.71,31.71,31.71,31.71,171,,,,,,,
2023-07-25,31.71,31.71,31.71,31.71,31.71,100,,,,,,,
2023-07-24,33.75,33.75,33.75,33.75,33.75,4,,,,,,,
2023-07-21,33.9,34.76,33.0,33.75,33.75,16100,,,,,,,
2023-07-20,33.725,33.725,33.725,33.725,33.725,300,,,,,,,
2023-07-19,34.33,34.35,34.249,34.25,34.25,1600,,,,,,,
2023-07-18,34.27,34.8,34.15,34.689,34.689,1578,,,,,,,
2023-07-17,34.0,34.54,33.75,33.75,33.75,1598,,,,,,,
2023-07-14,33.0,33.0,33.0,33.0,33.0,100,,,,,,,
2023-07-13,33.0,33.0,33.0,33.0,33.0,0,,,,,,,
2023-07-12,33.0,33.0,33.0,33.0,33.0,0,,,,,,,
2023-07-11,33.0,33.0,33.0,33.0,33.0,100,,,,,,,
2023-07-10,33.0,33.0,33.0,33.0,33.0,3,,,,,,,
2023-07-07,33.25,33.25,33.0,33.0,33.0,1100,,,,,,,
2023-07-06,30.9,30.9,30.9,30.9,30.9,0,,,,,,,
2023-07-05,30.9,30.9,30.9,30.9,30.9,0,,,,,,,
2023-07-03,30.9,30.9,30.9,30.9,30.9,2,,,,,,,
2023-06-30,30.9,30.9,30.9,30.9,30.9,0,0.0,USD,,,,,346000000
2023-06-29,30.9,30.9,30.9,30.9,30.9,0,1.0,USD,0.53,0,0.53,,346000000
2023-06-28,30.9,30.9,30.9,30.9,30.9,70,2.0,USD,0.53,0,0.53,,346000000
2023-06-27,30.9,30.9,30.9,30.9,30.9,500,3.0,USD,0.53,0,0.53,,346000000
2023-06-26,27.99,27.99,27.99,27.99,27.99,3,4.0,USD,0.53,0,0.53,,346000000
2023-06-23,27.99,27.99,27.99,27.99,27.99,0,7.0,USD,0.53,0,0.53,,346000000
2023-06-22,27.99,27.99,27.99,27.99,27.99,100,8.0,USD,0.53,0,0.53,,346000000
2023-06-21,27.99,27.99,27.99,27.99,27.99,0,9.0,USD,0.53,0,0.53,,346000000
2023-06-20,27.99,27.99,27.99,27.99,27.99,0,10.0,USD,0.53,0,0.53,,346000000
2023-06-16,27.99,27.99,27.99,27.99,27.99,400,14.0,USD,0.53,0,0.53,,346000000
2023-06-15,27.99,27.99,27.99,27.99,27.99,1,15.0,USD,0.53,0,0.53,,346000000
2023-06-14,27.99,27.99,27.99,27.99,27.99,4,16.0,USD,0.53,0,0.53,,346000000
2023-06-13,27.99,27.99,27.99,27.99,27.99,6,17.0,USD,0.53,0,0.53,,346000000
2023-06-12,27.99,27.99,27.99,27.99,27.99,27,18.0,USD,0.53,0,0.53,,346000000
2023-06-09,27.99,27.99,27.99,27.99,27.99,0,21.0,USD,0.53,0,0.53,,346000000
2023-06-08,27.99,27.99,27.99,27.99,27.99,100,22.0,USD,0.53,0,0.53,,346000000
2023-06-07,27.99,27.99,27.99,27.99,27.99,0,23.0,USD,0.53,0,0.53,,346000000
2023-06-06,27.99,27.99,27.99,27.99,27.99,0,24.0,USD,0.53,0,0.53,,346000000
