date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,8.71,9.23,8.695,9.22,9.22,158300,335,USD,0.47,0.31,0.16,51.6129,
2023-07-28,8.72,8.78,8.58,8.73,8.73,88000,338,USD,0.47,0.31,0.16,51.6129,
2023-07-27,8.98,8.98,8.61,8.7,8.7,152200,339,USD,0.47,0.31,0.16,51.6129,
2023-07-26,9.07,9.29,8.92,8.95,8.95,114500,340,USD,0.47,0.31,0.16,51.6129,
2023-07-25,8.98,9.325,8.98,9.04,9.04,207300,341,USD,0.47,0.31,0.16,51.6129,
2023-07-24,9.02,9.29,9.01,9.09,9.09,105400,342,USD,0.47,0.31,0.16,51.6129,
2023-07-21,9.02,9.04,8.84,8.99,8.99,92500,345,USD,0.47,0.31,0.16,51.6129,
2023-07-20,8.63,8.99,8.63,8.96,8.96,130300,346,USD,0.47,0.31,0.16,51.6129,
2023-07-19,8.44,8.68,8.44,8.66,8.66,129500,347,USD,0.47,0.31,0.16,51.6129,
2023-07-18,8.37,8.76,8.31,8.43,8.43,208100,348,USD,0.47,0.31,0.16,51.6129,
2023-07-17,8.67,8.77,8.35,8.36,8.36,193800,349,USD,0.47,0.31,0.16,51.6129,
2023-07-14,9.04,9.07,8.69,8.71,8.71,237400,352,USD,0.47,0.31,0.16,51.6129,
2023-07-13,8.99,9.13,8.84,9.01,9.01,113100,353,USD,0.47,0.31,0.16,51.6129,
2023-07-12,9.4,9.5,8.97,8.99,8.99,137600,354,USD,0.47,0.31,0.16,51.6129,
2023-07-11,8.93,9.25,8.91,9.24,9.24,127000,355,USD,0.47,0.31,0.16,51.6129,
2023-07-10,8.85,9.059,8.81,8.96,8.96,139700,356,USD,0.47,0.31,0.16,51.6129,
2023-07-07,8.56,8.89,8.55,8.81,8.81,258300,359,USD,0.47,0.31,0.16,51.6129,
2023-07-06,9.03,9.19,8.4,8.54,8.54,195600,360,USD,0.47,0.31,0.16,51.6129,
2023-07-05,9.31,9.555,9.05,9.05,9.05,208900,361,USD,0.47,0.31,0.16,51.6129,
2023-07-03,8.69,9.405,8.65,9.31,9.31,176100,363,USD,0.47,0.31,0.16,51.6129,
2023-06-30,8.47,8.63,8.26,8.57,8.57,1611400,366,USD,0.47,0.31,0.16,51.6129,36708000
2023-06-29,8.21,8.52,8.21,8.42,8.42,254600,367,USD,0.61,0.16,0.45,281.25,36740000
2023-06-28,8.13,8.25,8.02,8.25,8.25,370500,368,USD,0.61,0.16,0.45,281.25,36740000
2023-06-27,8.29,8.29,8.041,8.18,8.18,324300,369,USD,0.61,0.16,0.45,281.25,36740000
2023-06-26,8.5,8.56,7.77,8.22,8.22,529900,370,USD,0.61,0.16,0.45,281.25,36740000
2023-06-23,9.09,9.32,8.51,8.68,8.68,3102800,373,USD,0.61,0.16,0.45,281.25,36740000
2023-06-22,9.47,9.59,9.02,9.32,9.32,220700,374,USD,0.61,0.16,0.45,281.25,36740000
2023-06-21,8.77,9.68,8.77,9.53,9.53,300400,375,USD,0.61,0.16,0.45,281.25,36740000
2023-06-20,8.26,9.07,8.13,9.0,9.0,292400,376,USD,0.61,0.16,0.45,281.25,36740000
2023-06-16,8.22,8.32,7.9,8.26,8.26,526000,380,USD,0.61,0.16,0.45,281.25,36740000
2023-06-15,8.03,8.29,8.03,8.19,8.19,160200,381,USD,0.61,0.16,0.45,281.25,36740000
2023-06-14,7.96,8.225,7.96,8.01,8.01,103100,382,USD,0.61,0.16,0.45,281.25,36740000
2023-06-13,7.91,8.158,7.895,7.95,7.95,159300,383,USD,0.61,0.16,0.45,281.25,36740000
2023-06-12,8.06,8.165,7.87,7.87,7.87,107900,384,USD,0.61,0.16,0.45,281.25,36740000
2023-06-09,8.01,8.33,7.995,8.09,8.09,115700,387,USD,0.61,0.16,0.45,281.25,36740000
2023-06-08,8.21,8.24,7.95,8.07,8.07,197800,388,USD,0.61,0.16,0.45,281.25,36740000
2023-06-07,8.34,8.4,8.125,8.18,8.18,199600,389,USD,0.61,0.16,0.45,281.25,36740000
2023-06-06,8.32,8.42,8.28,8.305,8.305,151900,390,USD,0.61,0.16,0.45,281.25,36740000
2023-06-05,8.46,8.5,8.3,8.43,8.43,139500,391,USD,0.61,0.16,0.45,281.25,36740000
2023-06-02,8.17,8.4,8.13,8.38,8.38,153900,394,USD,0.61,0.16,0.45,281.25,36740000
2023-06-01,7.74,8.12,7.74,8.115,8.115,158400,395,USD,0.61,0.16,0.45,281.25,36740000
2023-05-31,7.85,7.96,7.77,7.79,7.79,101600,396,USD,0.61,0.16,0.45,281.25,36740000
2023-05-30,8.18,8.2,7.81,7.97,7.97,260300,397,USD,0.61,0.16,0.45,281.25,36740000
2023-05-26,8.4,8.5,8.1,8.1,8.1,177300,401,USD,0.61,0.16,0.45,281.25,36740000
2023-05-25,8.4,8.58,8.335,8.39,8.39,154500,402,USD,0.61,0.16,0.45,281.25,36740000
2023-05-24,8.71,8.75,8.25,8.48,8.48,146000,403,USD,0.61,0.16,0.45,281.25,36740000
2023-05-23,8.66,9.14,8.63,8.79,8.79,204200,404,USD,0.61,0.16,0.45,281.25,36740000
2023-05-22,8.34,8.67,8.25,8.66,8.66,287500,405,USD,0.61,0.16,0.45,281.25,36740000
2023-05-19,8.67,8.76,8.25,8.33,8.33,141100,408,USD,0.61,0.16,0.45,281.25,36740000
2023-05-18,9.13,9.15,8.3,8.6,8.6,286600,409,USD,0.61,0.16,0.45,281.25,36740000
2023-05-17,9.19,9.28,9.01,9.2,9.2,193300,410,USD,0.61,0.16,0.45,281.25,36740000
2023-05-16,9.39,9.63,9.1,9.13,9.13,117600,411,USD,0.61,0.16,0.45,281.25,36740000
2023-05-15,9.23,9.52,9.1,9.39,9.39,271500,412,USD,0.61,0.16,0.45,281.25,36740000
