date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-30,4.09,4.5,4.01,4.34,4.34,303485,366,USD,-0.24,-0.23,-0.01,-4.3478,20959800
2023-06-29,3.81,4.19,3.8,4.12,4.12,220468,367,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-28,3.71,3.82,3.65,3.82,3.82,107345,368,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-27,3.91,3.9199,3.6,3.69,3.69,312006,369,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-26,3.95,3.98,3.75,3.87,3.87,174976,370,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-23,4.05,4.1,3.85,3.91,3.91,128815,373,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-22,4.13,4.2336,3.9879,4.06,4.06,136910,374,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-21,3.98,4.25,3.98,4.12,4.12,251368,375,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-20,3.88,4.04,3.88,3.97,3.97,112632,376,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-16,3.98,3.98,3.84,3.87,3.87,95552,380,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-15,3.85,3.995,3.77,3.99,3.99,137625,381,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-14,3.95,3.9722,3.84,3.86,3.86,104611,382,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-13,3.83,3.95,3.77,3.94,3.94,139859,383,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-12,3.79,4.03,3.77,3.83,3.83,220201,384,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-09,3.95,4.0399,3.76,3.76,3.76,163480,387,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-08,3.8,4.04,3.8,3.96,3.96,151535,388,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-07,3.86,3.98,3.81,3.84,3.84,114937,389,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-06,3.7,3.88,3.7,3.83,3.83,207178,390,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-05,3.83,3.89,3.64,3.66,3.66,344218,391,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-02,4.05,4.1376,3.81,3.85,3.85,260823,394,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-06-01,3.9,4.1599,3.85,4.02,4.02,228890,395,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-31,3.76,3.9199,3.75,3.86,3.86,123694,396,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-30,3.88,3.94,3.81,3.82,3.82,100357,397,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-26,3.65,4.105,3.61,3.89,3.89,424999,401,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-25,3.87,3.88,3.59,3.63,3.63,407578,402,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-24,4.0,4.0087,3.81,3.87,3.87,322362,403,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-23,4.0,4.22,4.0,4.03,4.03,277319,404,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-22,4.23,4.23,3.98,4.07,4.07,808709,405,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-19,4.35,4.54,4.31,4.34,4.34,253945,408,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-18,4.71,4.71,4.27,4.35,4.35,598431,409,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-17,4.98,4.9968,4.59,4.75,4.75,636875,410,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-16,4.9,5.075,4.85,4.89,4.89,503121,411,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-15,6.09,6.09,4.48,5.02,5.02,1397352,412,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-12,6.49,6.5,6.01,6.03,6.03,560911,415,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-11,6.25,6.6,6.2,6.35,6.35,576970,416,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-10,5.9,6.3,5.8001,6.24,6.24,384663,417,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-09,5.81,5.9,5.55,5.8,5.8,278530,418,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-08,6.33,6.33,5.7,5.81,5.81,500300,419,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-05,5.9,6.25,5.88,6.18,6.18,293073,422,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-04,5.84,6.05,5.795,5.86,5.86,350922,423,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-03,5.58,6.03,5.58,5.81,5.81,304404,424,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-02,6.04,6.189,5.52,5.52,5.52,460194,425,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-05-01,5.27,6.12,5.14,6.02,6.02,670574,426,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-28,5.32,5.35,4.9704,5.13,5.13,348852,429,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-27,5.14,5.45,5.05,5.3,5.3,177089,430,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-26,4.83,5.32,4.76,5.17,5.17,388487,431,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-25,5.28,5.35,4.91,4.94,4.94,425346,432,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-24,5.05,5.43,5.03,5.35,5.35,588871,433,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-21,5.65,6.0,4.621,5.17,5.17,2046579,436,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-20,6.5,6.5,5.94,6.16,6.16,545387,437,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-19,5.91,6.46,5.85,6.38,6.38,542682,438,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-18,5.89,6.06,5.66,6.04,6.04,476832,439,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-17,5.37,5.87,5.32,5.8,5.8,604910,440,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-14,5.45,5.45,5.01,5.36,5.36,492628,443,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-13,5.517,5.76,5.072,5.39,5.39,473988,444,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-12,5.51,5.74,5.26,5.68,5.68,509881,445,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-11,5.47,5.7,5.25,5.41,5.41,490361,446,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-10,4.9,5.59,4.895,5.37,5.37,831661,447,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-06,4.9,5.22,4.764,4.85,4.85,431995,451,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-05,5.19,5.43,4.53,4.715,4.715,589904,452,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-04,4.8,5.36,4.51,5.19,5.19,890865,453,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-04-03,3.88,4.55,3.87,4.51,4.51,648145,454,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-03-31,3.84,3.84,3.74,3.75,3.75,46451,457,USD,-0.28,-0.15,-0.13,-86.6667,20939600
2023-03-30,3.63,3.83,3.63,3.83,3.83,94199,458,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-29,3.59,3.63,3.5301,3.6,3.6,24668,459,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-28,3.67,3.67,3.51,3.55,3.55,29525,460,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-27,3.74,3.74,3.605,3.68,3.68,35771,461,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-24,3.69,3.69,3.5301,3.69,3.69,55101,464,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-23,3.58,3.64,3.57,3.6,3.6,43072,465,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-22,3.76,3.77,3.57,3.59,3.59,72192,466,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-21,3.75,3.83,3.69,3.79,3.79,29873,467,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-20,3.85,3.85,3.65,3.73,3.73,49173,468,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-17,3.85,3.85,3.75,3.77,3.77,143182,471,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-16,3.7,3.85,3.68,3.85,3.85,132775,472,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-15,3.7,3.79,3.6575,3.75,3.75,76165,473,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-14,3.6,3.79,3.5,3.73,3.73,110986,474,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-13,3.31,3.62,3.31,3.51,3.51,64945,475,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-10,3.59,3.7,3.395,3.4,3.4,89378,478,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-09,3.78,3.78,3.5229,3.55,3.55,59196,479,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-08,3.63,3.84,3.58,3.77,3.77,70415,480,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-07,3.71,3.85,3.66,3.66,3.66,50648,481,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-06,3.8,3.82,3.61,3.75,3.75,69670,482,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-03,3.57,3.73,3.5128,3.7,3.7,37034,485,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-02,3.46,3.59,3.43,3.56,3.56,28454,486,USD,1.58,0.97,0.61,62.8866,21476300
2023-03-01,3.44,3.5799,3.44,3.48,3.48,48375,487,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-28,3.5,3.57,3.38,3.45,3.45,59687,488,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-27,3.54,3.595,3.46,3.48,3.48,65901,489,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-24,3.42,3.53,3.4,3.47,3.47,50366,492,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-23,3.53,3.57,3.41,3.46,3.46,43953,493,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-22,3.42,3.59,3.41,3.5,3.5,61786,494,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-21,3.77,3.77,3.4291,3.45,3.45,80055,495,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-17,3.8,3.81,3.7037,3.76,3.76,60294,499,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-16,3.88,3.88,3.72,3.83,3.83,116776,500,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-15,3.8,3.8899,3.73,3.83,3.83,132024,501,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-14,3.8,3.8,3.67,3.76,3.76,60597,502,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-13,3.33,3.79,3.25,3.77,3.77,270525,503,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-10,3.31,3.33,3.17,3.28,3.28,58113,506,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-09,3.47,3.5,3.27,3.31,3.31,101553,507,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-08,3.53,3.57,3.43,3.4438,3.4438,56387,508,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-07,3.52,3.58,3.45,3.55,3.55,65223,509,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-06,3.48,3.53,3.45,3.48,3.48,39746,510,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-03,3.48,3.6,3.41,3.5,3.5,69584,513,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-02,3.59,3.63,3.4,3.5,3.5,110112,514,USD,1.58,0.97,0.61,62.8866,21476300
2023-02-01,3.54,3.6,3.44,3.54,3.54,98982,515,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-31,3.38,3.5321,3.38,3.47,3.47,113543,516,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-30,3.6,3.68,3.4,3.44,3.44,164703,517,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-27,3.0,3.6,3.0,3.41,3.41,346516,520,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-26,3.0,3.3,2.87,3.01,3.01,919569,521,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-25,3.69,3.77,3.62,3.76,3.76,433084,522,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-24,3.64,3.75,3.5702,3.69,3.69,53434,523,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-23,3.85,3.8699,3.5713,3.67,3.67,171318,524,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-20,3.92,3.92,3.77,3.85,3.85,75813,527,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-19,3.7,3.89,3.68,3.82,3.82,104628,528,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-18,3.69,3.75,3.63,3.72,3.72,89473,529,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-17,3.62,3.74,3.51,3.65,3.65,101259,530,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-13,3.69,3.84,3.6,3.68,3.68,122690,534,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-12,3.62,3.69,3.52,3.65,3.65,66930,535,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-11,3.58,3.625,3.4101,3.6,3.6,90772,536,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-10,3.43,3.53,3.33,3.5,3.5,81567,537,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-09,3.23,3.4,3.1551,3.4,3.4,104794,538,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-06,3.42,3.42,3.16,3.17,3.17,158874,541,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-05,3.55,3.5932,3.26,3.4,3.4,249799,542,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-04,3.56,3.71,3.45,3.57,3.57,193633,543,USD,1.58,0.97,0.61,62.8866,21476300
2023-01-03,3.63,3.83,3.43,3.51,3.51,262533,544,USD,1.58,0.97,0.61,62.8866,21476300
2022-12-30,3.26,3.66,3.1784,3.53,3.53,395437,548,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-29,3.08,3.33,3.05,3.18,3.18,345515,549,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-28,2.73,3.06,2.73,3.05,3.05,312058,550,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-27,2.53,2.67,2.48,2.63,2.63,104388,551,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-23,2.568,2.63,2.5,2.51,2.51,113041,555,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-22,2.67,2.6745,2.57,2.6,2.6,64830,556,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-21,2.765,2.88,2.58,2.65,2.65,66879,557,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-20,2.54,2.7,2.5301,2.63,2.63,70341,558,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-19,2.81,2.82,2.55,2.55,2.55,109064,559,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-16,2.87,2.9304,2.73,2.89,2.89,101323,562,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-15,3.02,3.03,2.6801,2.95,2.95,144598,563,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-14,3.12,3.1254,3.03,3.06,3.06,34254,564,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-13,3.18,3.18,3.0301,3.14,3.14,59449,565,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-12,3.08,3.0999,3.0,3.09,3.09,60955,566,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-09,3.1,3.1,3.0013,3.08,3.08,70208,569,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-08,3.15,3.18,3.04,3.08,3.08,60479,570,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-07,3.04,3.18,3.04,3.1,3.1,64226,571,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-06,3.25,3.38,3.0096,3.05,3.05,167190,572,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-05,3.26,3.3176,3.0201,3.22,3.22,178371,573,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-02,3.21,3.5,3.1901,3.26,3.26,227258,576,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-12-01,2.94,3.3,2.94,3.23,3.23,102229,577,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-30,3.12,3.14,3.025,3.08,3.08,66647,578,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-29,2.98,3.1999,2.932,3.13,3.13,125523,579,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-28,3.13,3.16,2.96,2.97,2.97,80959,580,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-25,2.84,3.16,2.79,3.109,3.109,177951,583,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-23,2.72,2.83,2.72,2.81,2.81,76623,585,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-22,2.78,2.78,2.6841,2.76,2.76,92362,586,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-21,2.79,2.79,2.6201,2.72,2.72,82355,587,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-18,2.71,2.74,2.61,2.69,2.69,51906,590,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-17,2.65,2.77,2.61,2.73,2.73,68708,591,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-16,2.81,2.85,2.6999,2.75,2.75,78167,592,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-15,2.7,2.8845,2.7,2.85,2.85,223203,593,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-14,2.78,2.9,2.65,2.7,2.7,400275,594,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-11,2.43,2.825,2.43,2.7,2.7,754285,597,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-10,2.4,2.59,2.32,2.5,2.5,512940,598,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-09,2.47,2.48,2.1,2.42,2.42,804785,599,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-08,2.22,2.68,2.2,2.49,2.49,5831146,600,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-07,2.17,2.1899,2.08,2.08,2.08,862679,601,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-04,2.19,2.21,2.15,2.19,2.19,35115,604,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-03,2.11,2.1699,2.05,2.14,2.14,56956,605,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-02,2.37,2.37,2.18,2.18,2.18,91224,606,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-11-01,2.29,2.4158,2.29,2.32,2.32,20425,607,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-31,2.45,2.45,2.35,2.35,2.35,32797,608,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-28,2.47,2.53,2.45,2.46,2.46,26720,611,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-27,2.36,2.54,2.36,2.49,2.49,90634,612,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-26,2.3,2.39,2.286,2.37,2.37,84817,613,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-25,2.276,2.33,2.23,2.33,2.33,21449,614,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-24,2.31,2.31,2.22,2.26,2.26,25610,615,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-21,2.25,2.3262,2.23,2.29,2.29,32039,618,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-20,2.31,2.31,2.23,2.27,2.27,44277,619,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-19,2.19,2.3,2.19,2.28,2.28,13092,620,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-18,2.3,2.3193,2.19,2.28,2.28,87661,621,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-17,2.19,2.26,2.16,2.22,2.22,38489,622,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-14,2.27,2.27,2.14,2.19,2.19,91330,625,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-13,2.25,2.27,2.165,2.23,2.23,57072,626,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-12,2.18,2.33,2.12,2.3,2.3,102473,627,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-11,2.19,2.2782,2.16,2.175,2.175,74090,628,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-10,2.39,2.39,2.18,2.2,2.2,48039,629,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-07,2.37,2.39,2.28,2.34,2.34,55782,632,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-06,2.35,2.36,2.2901,2.36,2.36,51362,633,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-05,2.35,2.36,2.25,2.28,2.28,47152,634,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-04,2.04,2.34,2.0026,2.32,2.32,89207,635,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-10-03,2.04,2.04,1.9701,2.04,2.04,45964,636,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-09-30,2.0,2.04,2.0,2.01,2.01,27227,639,USD,-0.22,-0.29,0.07,24.1379,20498200
2022-09-29,1.98,2.02,1.9501,2.0,2.0,30103,640,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-28,2.02,2.07,1.96,2.04,2.04,29927,641,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-27,1.98,2.03,1.97,1.99,1.99,27303,642,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-26,1.95,2.07,1.95,1.98,1.98,67300,643,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-23,2.045,2.045,1.9,1.96,1.96,68566,646,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-22,2.16,2.16,2.03,2.05,2.05,44005,647,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-21,2.17,2.17,2.09,2.13,2.13,30090,648,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-20,2.16,2.16,2.09,2.1,2.1,32620,649,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-19,2.18,2.18,2.0,2.12,2.12,93568,650,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-16,2.3,2.34,2.11,2.18,2.18,91962,653,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-15,2.48,2.48,2.3,2.3,2.3,49585,654,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-14,2.45,2.47,2.39,2.41,2.41,125861,655,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-13,2.47,2.47,2.35,2.43,2.43,89569,656,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-12,2.4,2.5,2.4,2.42,2.42,76449,657,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-09,2.35,2.4,2.25,2.39,2.39,74601,660,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-08,2.21,2.26,2.21,2.26,2.26,47068,661,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-07,2.2,2.2392,2.15,2.21,2.21,35356,662,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-06,2.31,2.31,2.18,2.21,2.21,23309,663,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-02,2.265,2.3,2.21,2.23,2.23,35445,667,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-09-01,2.25,2.3,2.2,2.24,2.24,52381,668,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-08-31,2.29,2.35,2.2,2.27,2.27,52639,669,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-08-30,2.38,2.4286,2.21,2.25,2.25,31566,670,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-08-29,2.5,2.5808,2.32,2.36,2.36,74172,671,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-08-26,2.71,2.71,2.535,2.56,2.56,76295,674,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-08-25,2.74,2.8,2.7,2.7,2.7,149357,675,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-08-24,2.56,2.7341,2.5354,2.72,2.72,110075,676,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-08-23,2.54,2.6,2.49,2.54,2.54,61040,677,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-08-22,2.57,2.62,2.5,2.53,2.53,65251,678,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-08-19,2.71,2.7499,2.5231,2.55,2.55,32710,681,USD,-0.25,-0.33,0.08,24.2424,19502600
2022-08-18,2.66,2.7,2.6,2.7,2.7,37724,682,USD,-0.25,-0.33,0.08,24.2424,19502600
