date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,42.49,43.47,42.245,43.4,43.4,413700,335,USD,-0.6,-0.63,0.03,4.7619,
2023-07-28,41.7,42.92,41.13,42.46,42.46,493200,338,USD,-0.6,-0.63,0.03,4.7619,
2023-07-27,42.06,42.06,40.74,41.19,41.19,947800,339,USD,-0.6,-0.63,0.03,4.7619,
2023-07-26,42.08,42.57,41.605,41.7,41.7,541300,340,USD,-0.6,-0.63,0.03,4.7619,
2023-07-25,43.05,43.39,42.27,42.32,42.32,368000,341,USD,-0.6,-0.63,0.03,4.7619,
2023-07-24,43.54,43.77,42.04,43.14,43.14,501400,342,USD,-0.6,-0.63,0.03,4.7619,
2023-07-21,44.53,44.53,43.39,43.7,43.7,444300,345,USD,-0.6,-0.63,0.03,4.7619,
2023-07-20,44.73,44.973,43.61,44.2,44.2,389800,346,USD,-0.6,-0.63,0.03,4.7619,
2023-07-19,45.0,45.27,44.24,44.73,44.73,378100,347,USD,-0.6,-0.63,0.03,4.7619,
2023-07-18,45.0,45.38,44.14,44.8,44.8,370100,348,USD,-0.6,-0.63,0.03,4.7619,
2023-07-17,45.57,46.83,44.49,44.77,44.77,430700,349,USD,-0.6,-0.63,0.03,4.7619,
2023-07-14,45.74,45.74,44.74,45.57,45.57,229200,352,USD,-0.6,-0.63,0.03,4.7619,
2023-07-13,45.4,45.9,44.63,45.33,45.33,292800,353,USD,-0.6,-0.63,0.03,4.7619,
2023-07-12,44.9,45.45,44.05,45.05,45.05,486100,354,USD,-0.6,-0.63,0.03,4.7619,
2023-07-11,44.84,45.195,43.905,44.85,44.85,365600,355,USD,-0.6,-0.63,0.03,4.7619,
2023-07-10,43.44,45.15,43.01,44.99,44.99,543300,356,USD,-0.6,-0.63,0.03,4.7619,
2023-07-07,44.99,45.5,42.75,43.71,43.71,716700,359,USD,-0.6,-0.63,0.03,4.7619,
2023-07-06,44.87,45.275,44.3,45.03,45.03,642200,360,USD,-0.6,-0.63,0.03,4.7619,
2023-07-05,44.59,45.7,44.59,45.05,45.05,417900,361,USD,-0.6,-0.63,0.03,4.7619,
2023-07-03,46.52,46.52,43.91,44.52,44.52,403500,363,USD,-0.6,-0.63,0.03,4.7619,
2023-06-30,45.09,48.06,44.685,46.69,46.69,1241400,366,USD,-0.6,-0.63,0.03,4.7619,51867900
2023-06-29,45.12,45.51,44.373,44.64,44.64,535600,367,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-28,45.32,46.02,44.71,45.43,45.43,1038800,368,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-27,45.33,46.15,43.72,45.42,45.42,1381400,369,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-26,50.34,50.46,44.31,46.17,46.17,1706100,370,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-23,51.6,51.86,50.0,50.83,50.83,3119900,373,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-22,52.27,52.79,51.73,52.01,52.01,640400,374,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-21,52.41,54.35,51.69,52.72,52.72,542800,375,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-20,54.45,55.56,53.24,55.05,55.05,588300,376,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-16,56.45,56.66,53.01,54.6,54.6,1501600,380,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-15,54.97,55.665,54.88,55.21,55.21,446800,381,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-14,56.65,56.87,54.925,55.17,55.17,421000,382,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-13,55.16,58.38,55.16,56.88,56.88,585000,383,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-12,53.49,58.0,53.28,55.34,55.34,854800,384,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-09,52.21,53.73,51.97,52.49,52.49,431000,387,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-08,51.45,52.34,50.39,51.66,51.66,535400,388,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-07,53.83,54.0,50.82,50.9,50.9,635900,389,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-06,52.07,53.68,49.9,53.24,53.24,963100,390,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-05,45.87,54.08,45.87,52.02,52.02,1481500,391,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-02,45.45,46.98,45.11,46.73,46.73,527600,394,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-06-01,44.58,46.015,43.65,45.12,45.12,447200,395,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-31,43.81,45.49,43.34,44.58,44.58,835200,396,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-30,44.79,45.5,43.76,43.89,43.89,267100,397,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-26,43.54,45.0,43.36,44.74,44.74,333300,401,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-25,43.86,44.41,42.75,43.81,43.81,440500,402,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-24,44.41,45.986,43.895,44.08,44.08,431500,403,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-23,45.62,48.14,43.34,44.34,44.34,1006100,404,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-22,45.86,46.63,45.38,45.66,45.66,684800,405,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-19,46.06,46.405,45.24,45.6,45.6,421600,408,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-18,46.5,46.88,44.61,45.6,45.6,1017500,409,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-17,46.89,47.19,45.44,46.29,46.29,555300,410,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-16,45.98,47.16,45.65,46.4,46.4,1050600,411,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-15,45.86,48.655,45.66,47.71,47.71,476200,412,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-12,45.6,46.535,45.15,46.33,46.33,367200,415,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-11,47.57,47.893,44.92,45.6,45.6,635800,416,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-10,49.36,49.84,47.43,47.77,47.77,817300,417,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-09,45.18,49.58,44.05,49.15,49.15,549500,418,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-08,44.92,47.209,44.26,45.52,45.52,661000,419,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-05,45.0,45.66,44.77,45.13,45.13,440700,422,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-04,44.9,45.07,43.75,44.75,44.75,380800,423,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-03,44.12,45.88,43.72,45.02,45.02,1121700,424,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-02,44.94,45.63,43.89,43.93,43.93,513600,425,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-05-01,44.76,45.78,44.39,44.93,44.93,576900,426,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-04-28,43.26,45.08,43.11,44.74,44.74,435700,429,USD,-0.55,-0.67,0.12,17.9104,46944100
2023-04-27,44.29,44.35,42.74,43.63,43.63,335300,430,USD,-0.55,-0.67,0.12,17.9104,46944100
