date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-07-31,17.21,19.71,17.03,19.71,19.71,491500,335,USD,-1.5,-1.7,0.2,11.7647,
2023-07-28,16.88,17.16,16.78,17.12,17.12,270700,338,USD,-1.5,-1.7,0.2,11.7647,
2023-07-27,17.19,17.19,16.66,16.74,16.74,121600,339,USD,-1.5,-1.7,0.2,11.7647,
2023-07-26,17.56,17.68,16.86,17.06,17.06,166800,340,USD,-1.5,-1.7,0.2,11.7647,
2023-07-25,17.57,17.85,17.22,17.61,17.61,115300,341,USD,-1.5,-1.7,0.2,11.7647,
2023-07-24,18.21,18.38,17.26,17.69,17.69,238800,342,USD,-1.5,-1.7,0.2,11.7647,
2023-07-21,18.72,18.888,17.96,18.12,18.12,181600,345,USD,-1.5,-1.7,0.2,11.7647,
2023-07-20,19.07,19.07,18.5,18.59,18.59,184800,346,USD,-1.5,-1.7,0.2,11.7647,
2023-07-19,19.53,19.57,18.8,19.0,19.0,364100,347,USD,-1.5,-1.7,0.2,11.7647,
2023-07-18,18.73,20.3,18.58,19.38,19.38,154800,348,USD,-1.5,-1.7,0.2,11.7647,
2023-07-17,18.58,19.13,18.53,18.77,18.77,145900,349,USD,-1.5,-1.7,0.2,11.7647,
2023-07-14,18.52,18.69,18.0,18.47,18.47,395500,352,USD,-1.5,-1.7,0.2,11.7647,
2023-07-13,20.58,20.8,18.6,18.6,18.6,160800,353,USD,-1.5,-1.7,0.2,11.7647,
2023-07-12,20.22,20.57,19.99,20.53,20.53,73600,354,USD,-1.5,-1.7,0.2,11.7647,
2023-07-11,20.5,20.5,19.65,20.0,20.0,97600,355,USD,-1.5,-1.7,0.2,11.7647,
2023-07-10,20.3,20.68,20.2,20.55,20.55,137600,356,USD,-1.5,-1.7,0.2,11.7647,
2023-07-07,20.06,20.61,20.04,20.21,20.21,104500,359,USD,-1.5,-1.7,0.2,11.7647,
2023-07-06,19.49,20.33,19.24,20.14,20.14,131800,360,USD,-1.5,-1.7,0.2,11.7647,
2023-07-05,19.63,19.71,19.18,19.51,19.51,113400,361,USD,-1.5,-1.7,0.2,11.7647,
2023-07-03,20.22,20.27,19.43,19.62,19.62,91600,363,USD,-1.5,-1.7,0.2,11.7647,
2023-06-30,20.39,20.73,20.27,20.34,20.34,148300,366,USD,-1.5,-1.7,0.2,11.7647,26629000
2023-06-29,20.74,20.86,19.85,20.26,20.26,192400,367,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-28,20.53,20.92,20.33,20.81,20.81,191300,368,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-27,20.29,20.58,19.87,20.49,20.49,151500,369,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-26,20.27,20.42,19.77,20.19,20.19,187500,370,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-23,19.92,20.36,19.88,20.24,20.24,826400,373,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-22,19.86,20.076,19.71,20.03,20.03,170600,374,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-21,19.29,19.94,18.85,19.9,19.9,184900,375,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-20,18.75,19.36,18.375,19.3,19.3,227100,376,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-16,19.11,19.12,18.46,18.75,18.75,637700,380,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-15,18.52,19.03,18.45,18.8,18.8,133100,381,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-14,18.95,19.375,18.295,18.56,18.56,166500,382,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-13,18.89,19.25,18.8,19.02,19.02,176700,383,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-12,18.95,19.18,18.215,18.76,18.76,190300,384,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-09,18.28,18.76,18.01,18.7,18.7,242400,387,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-08,18.72,18.9,18.2,18.32,18.32,136000,388,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-07,18.79,18.94,18.54,18.73,18.73,141600,389,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-06,18.81,19.02,18.64,18.76,18.76,157300,390,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-05,18.51,19.05,18.47,18.81,18.81,264200,391,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-02,18.55,18.8,18.055,18.72,18.72,159100,394,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-06-01,19.05,19.26,18.39,18.48,18.48,138700,395,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-05-31,18.65,19.33,18.5,19.1,19.1,214300,396,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-05-30,18.61,19.0,18.4,18.55,18.55,102500,397,USD,-1.58,-1.05,-0.53,-50.4762,27953000
2023-05-26,18.59,18.72,18.315,18.65,18.65,90300,401,USD,-1.58,-1.05,-0.53,-50.4762,27953000
