index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,-0.11,-0.15,0.04,26.6667,
336,2023-07-30,USD,-0.11,-0.15,0.04,26.6667,
337,2023-07-29,USD,-0.11,-0.15,0.04,26.6667,
338,2023-07-28,USD,-0.11,-0.15,0.04,26.6667,
339,2023-07-27,USD,-0.11,-0.15,0.04,26.6667,
340,2023-07-26,USD,-0.11,-0.15,0.04,26.6667,
341,2023-07-25,USD,-0.11,-0.15,0.04,26.6667,
342,2023-07-24,USD,-0.11,-0.15,0.04,26.6667,
343,2023-07-23,USD,-0.11,-0.15,0.04,26.6667,
344,2023-07-22,USD,-0.11,-0.15,0.04,26.6667,
345,2023-07-21,USD,-0.11,-0.15,0.04,26.6667,
346,2023-07-20,USD,-0.11,-0.15,0.04,26.6667,
347,2023-07-19,USD,-0.11,-0.15,0.04,26.6667,
348,2023-07-18,USD,-0.11,-0.15,0.04,26.6667,
349,2023-07-17,USD,-0.11,-0.15,0.04,26.6667,
350,2023-07-16,USD,-0.11,-0.15,0.04,26.6667,
351,2023-07-15,USD,-0.11,-0.15,0.04,26.6667,
352,2023-07-14,USD,-0.11,-0.15,0.04,26.6667,
353,2023-07-13,USD,-0.11,-0.15,0.04,26.6667,
354,2023-07-12,USD,-0.11,-0.15,0.04,26.6667,
355,2023-07-11,USD,-0.11,-0.15,0.04,26.6667,
356,2023-07-10,USD,-0.11,-0.15,0.04,26.6667,
357,2023-07-09,USD,-0.11,-0.15,0.04,26.6667,
358,2023-07-08,USD,-0.11,-0.15,0.04,26.6667,
359,2023-07-07,USD,-0.11,-0.15,0.04,26.6667,
360,2023-07-06,USD,-0.11,-0.15,0.04,26.6667,
361,2023-07-05,USD,-0.11,-0.15,0.04,26.6667,
362,2023-07-04,USD,-0.11,-0.15,0.04,26.6667,
363,2023-07-03,USD,-0.11,-0.15,0.04,26.6667,
364,2023-07-02,USD,-0.11,-0.15,0.04,26.6667,
365,2023-07-01,USD,-0.11,-0.15,0.04,26.6667,
366,2023-06-30,USD,-0.11,-0.15,0.04,26.6667,126481500
367,2023-06-29,USD,-0.15,-0.16,0.01,6.25,126061300
368,2023-06-28,USD,-0.15,-0.16,0.01,6.25,126061300
369,2023-06-27,USD,-0.15,-0.16,0.01,6.25,126061300
370,2023-06-26,USD,-0.15,-0.16,0.01,6.25,126061300
371,2023-06-25,USD,-0.15,-0.16,0.01,6.25,126061300
372,2023-06-24,USD,-0.15,-0.16,0.01,6.25,126061300
373,2023-06-23,USD,-0.15,-0.16,0.01,6.25,126061300
374,2023-06-22,USD,-0.15,-0.16,0.01,6.25,126061300
375,2023-06-21,USD,-0.15,-0.16,0.01,6.25,126061300
376,2023-06-20,USD,-0.15,-0.16,0.01,6.25,126061300
377,2023-06-19,USD,-0.15,-0.16,0.01,6.25,126061300
378,2023-06-18,USD,-0.15,-0.16,0.01,6.25,126061300
379,2023-06-17,USD,-0.15,-0.16,0.01,6.25,126061300
380,2023-06-16,USD,-0.15,-0.16,0.01,6.25,126061300
381,2023-06-15,USD,-0.15,-0.16,0.01,6.25,126061300
382,2023-06-14,USD,-0.15,-0.16,0.01,6.25,126061300
383,2023-06-13,USD,-0.15,-0.16,0.01,6.25,126061300
384,2023-06-12,USD,-0.15,-0.16,0.01,6.25,126061300
385,2023-06-11,USD,-0.15,-0.16,0.01,6.25,126061300
386,2023-06-10,USD,-0.15,-0.16,0.01,6.25,126061300
387,2023-06-09,USD,-0.15,-0.16,0.01,6.25,126061300
388,2023-06-08,USD,-0.15,-0.16,0.01,6.25,126061300
389,2023-06-07,USD,-0.15,-0.16,0.01,6.25,126061300
390,2023-06-06,USD,-0.15,-0.16,0.01,6.25,126061300
391,2023-06-05,USD,-0.15,-0.16,0.01,6.25,126061300
392,2023-06-04,USD,-0.15,-0.16,0.01,6.25,126061300
393,2023-06-03,USD,-0.15,-0.16,0.01,6.25,126061300
394,2023-06-02,USD,-0.15,-0.16,0.01,6.25,126061300
395,2023-06-01,USD,-0.15,-0.16,0.01,6.25,126061300
396,2023-05-31,USD,-0.15,-0.16,0.01,6.25,126061300
397,2023-05-30,USD,-0.15,-0.16,0.01,6.25,126061300
398,2023-05-29,USD,-0.15,-0.16,0.01,6.25,126061300
399,2023-05-28,USD,-0.15,-0.16,0.01,6.25,126061300
400,2023-05-27,USD,-0.15,-0.16,0.01,6.25,126061300
401,2023-05-26,USD,-0.15,-0.16,0.01,6.25,126061300
402,2023-05-25,USD,-0.15,-0.16,0.01,6.25,126061300
403,2023-05-24,USD,-0.15,-0.16,0.01,6.25,126061300
404,2023-05-23,USD,-0.15,-0.16,0.01,6.25,126061300
405,2023-05-22,USD,-0.15,-0.16,0.01,6.25,126061300
406,2023-05-21,USD,-0.15,-0.16,0.01,6.25,126061300
407,2023-05-20,USD,-0.15,-0.16,0.01,6.25,126061300
408,2023-05-19,USD,-0.15,-0.16,0.01,6.25,126061300
409,2023-05-18,USD,-0.15,-0.16,0.01,6.25,126061300
410,2023-05-17,USD,-0.15,-0.16,0.01,6.25,126061300
411,2023-05-16,USD,-0.15,-0.16,0.01,6.25,126061300
412,2023-05-15,USD,-0.15,-0.16,0.01,6.25,126061300
413,2023-05-14,USD,-0.15,-0.16,0.01,6.25,126061300
