index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,-0.42,-0.24,-0.18,-75,
336,2023-07-30,USD,-0.42,-0.24,-0.18,-75,
337,2023-07-29,USD,-0.42,-0.24,-0.18,-75,
338,2023-07-28,USD,-0.42,-0.24,-0.18,-75,
339,2023-07-27,USD,-0.42,-0.24,-0.18,-75,
340,2023-07-26,USD,-0.42,-0.24,-0.18,-75,
341,2023-07-25,USD,-0.42,-0.24,-0.18,-75,
342,2023-07-24,USD,-0.42,-0.24,-0.18,-75,
343,2023-07-23,USD,-0.42,-0.24,-0.18,-75,
344,2023-07-22,USD,-0.42,-0.24,-0.18,-75,
345,2023-07-21,USD,-0.42,-0.24,-0.18,-75,
346,2023-07-20,USD,-0.42,-0.24,-0.18,-75,
347,2023-07-19,USD,-0.42,-0.24,-0.18,-75,
348,2023-07-18,USD,-0.42,-0.24,-0.18,-75,
349,2023-07-17,USD,-0.42,-0.24,-0.18,-75,
350,2023-07-16,USD,-0.42,-0.24,-0.18,-75,
351,2023-07-15,USD,-0.42,-0.24,-0.18,-75,
352,2023-07-14,USD,-0.42,-0.24,-0.18,-75,
353,2023-07-13,USD,-0.42,-0.24,-0.18,-75,
354,2023-07-12,USD,-0.42,-0.24,-0.18,-75,
355,2023-07-11,USD,-0.42,-0.24,-0.18,-75,
356,2023-07-10,USD,-0.42,-0.24,-0.18,-75,
357,2023-07-09,USD,-0.42,-0.24,-0.18,-75,
358,2023-07-08,USD,-0.42,-0.24,-0.18,-75,
359,2023-07-07,USD,-0.42,-0.24,-0.18,-75,
360,2023-07-06,USD,-0.42,-0.24,-0.18,-75,
361,2023-07-05,USD,-0.42,-0.24,-0.18,-75,
362,2023-07-04,USD,-0.42,-0.24,-0.18,-75,
363,2023-07-03,USD,-0.42,-0.24,-0.18,-75,
364,2023-07-02,USD,-0.42,-0.24,-0.18,-75,
365,2023-07-01,USD,-0.42,-0.24,-0.18,-75,
366,2023-06-30,USD,-0.42,-0.24,-0.18,-75,48709400
367,2023-06-29,USD,-0.16,-0.19,0.03,15.7895,48362500
368,2023-06-28,USD,-0.16,-0.19,0.03,15.7895,48362500
369,2023-06-27,USD,-0.16,-0.19,0.03,15.7895,48362500
370,2023-06-26,USD,-0.16,-0.19,0.03,15.7895,48362500
371,2023-06-25,USD,-0.16,-0.19,0.03,15.7895,48362500
372,2023-06-24,USD,-0.16,-0.19,0.03,15.7895,48362500
373,2023-06-23,USD,-0.16,-0.19,0.03,15.7895,48362500
374,2023-06-22,USD,-0.16,-0.19,0.03,15.7895,48362500
375,2023-06-21,USD,-0.16,-0.19,0.03,15.7895,48362500
376,2023-06-20,USD,-0.16,-0.19,0.03,15.7895,48362500
377,2023-06-19,USD,-0.16,-0.19,0.03,15.7895,48362500
378,2023-06-18,USD,-0.16,-0.19,0.03,15.7895,48362500
379,2023-06-17,USD,-0.16,-0.19,0.03,15.7895,48362500
380,2023-06-16,USD,-0.16,-0.19,0.03,15.7895,48362500
381,2023-06-15,USD,-0.16,-0.19,0.03,15.7895,48362500
382,2023-06-14,USD,-0.16,-0.19,0.03,15.7895,48362500
383,2023-06-13,USD,-0.16,-0.19,0.03,15.7895,48362500
384,2023-06-12,USD,-0.16,-0.19,0.03,15.7895,48362500
385,2023-06-11,USD,-0.16,-0.19,0.03,15.7895,48362500
386,2023-06-10,USD,-0.16,-0.19,0.03,15.7895,48362500
387,2023-06-09,USD,-0.16,-0.19,0.03,15.7895,48362500
388,2023-06-08,USD,-0.16,-0.19,0.03,15.7895,48362500
389,2023-06-07,USD,-0.16,-0.19,0.03,15.7895,48362500
390,2023-06-06,USD,-0.16,-0.19,0.03,15.7895,48362500
391,2023-06-05,USD,-0.16,-0.19,0.03,15.7895,48362500
392,2023-06-04,USD,-0.16,-0.19,0.03,15.7895,48362500
393,2023-06-03,USD,-0.16,-0.19,0.03,15.7895,48362500
394,2023-06-02,USD,-0.16,-0.19,0.03,15.7895,48362500
395,2023-06-01,USD,-0.16,-0.19,0.03,15.7895,48362500
396,2023-05-31,USD,-0.16,-0.19,0.03,15.7895,48362500
397,2023-05-30,USD,-0.16,-0.19,0.03,15.7895,48362500
398,2023-05-29,USD,-0.16,-0.19,0.03,15.7895,48362500
399,2023-05-28,USD,-0.16,-0.19,0.03,15.7895,48362500
400,2023-05-27,USD,-0.16,-0.19,0.03,15.7895,48362500
401,2023-05-26,USD,-0.16,-0.19,0.03,15.7895,48362500
402,2023-05-25,USD,-0.16,-0.19,0.03,15.7895,48362500
403,2023-05-24,USD,-0.16,-0.19,0.03,15.7895,48362500
404,2023-05-23,USD,-0.16,-0.19,0.03,15.7895,48362500
405,2023-05-22,USD,-0.16,-0.19,0.03,15.7895,48362500
406,2023-05-21,USD,-0.16,-0.19,0.03,15.7895,48362500
407,2023-05-20,USD,-0.16,-0.19,0.03,15.7895,48362500
408,2023-05-19,USD,-0.16,-0.19,0.03,15.7895,48362500
409,2023-05-18,USD,-0.16,-0.19,0.03,15.7895,48362500
410,2023-05-17,USD,-0.16,-0.19,0.03,15.7895,48362500
411,2023-05-16,USD,-0.16,-0.19,0.03,15.7895,48362500
412,2023-05-15,USD,-0.16,-0.19,0.03,15.7895,48362500
413,2023-05-14,USD,-0.16,-0.19,0.03,15.7895,48362500
414,2023-05-13,USD,-0.16,-0.19,0.03,15.7895,48362500
415,2023-05-12,USD,-0.16,-0.19,0.03,15.7895,48362500
416,2023-05-11,USD,-0.16,-0.19,0.03,15.7895,48362500
