index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,-0.34,-0.32,-0.02,-6.25,
336,2023-07-30,USD,-0.34,-0.32,-0.02,-6.25,
337,2023-07-29,USD,-0.34,-0.32,-0.02,-6.25,
338,2023-07-28,USD,-0.34,-0.32,-0.02,-6.25,
339,2023-07-27,USD,-0.34,-0.32,-0.02,-6.25,
340,2023-07-26,USD,-0.34,-0.32,-0.02,-6.25,
341,2023-07-25,USD,-0.34,-0.32,-0.02,-6.25,
342,2023-07-24,USD,-0.34,-0.32,-0.02,-6.25,
343,2023-07-23,USD,-0.34,-0.32,-0.02,-6.25,
344,2023-07-22,USD,-0.34,-0.32,-0.02,-6.25,
345,2023-07-21,USD,-0.34,-0.32,-0.02,-6.25,
346,2023-07-20,USD,-0.34,-0.32,-0.02,-6.25,
347,2023-07-19,USD,-0.34,-0.32,-0.02,-6.25,
348,2023-07-18,USD,-0.34,-0.32,-0.02,-6.25,
349,2023-07-17,USD,-0.34,-0.32,-0.02,-6.25,
350,2023-07-16,USD,-0.34,-0.32,-0.02,-6.25,
351,2023-07-15,USD,-0.34,-0.32,-0.02,-6.25,
352,2023-07-14,USD,-0.34,-0.32,-0.02,-6.25,
353,2023-07-13,USD,-0.34,-0.32,-0.02,-6.25,
354,2023-07-12,USD,-0.34,-0.32,-0.02,-6.25,
355,2023-07-11,USD,-0.34,-0.32,-0.02,-6.25,
356,2023-07-10,USD,-0.34,-0.32,-0.02,-6.25,
357,2023-07-09,USD,-0.34,-0.32,-0.02,-6.25,
358,2023-07-08,USD,-0.34,-0.32,-0.02,-6.25,
359,2023-07-07,USD,-0.34,-0.32,-0.02,-6.25,
360,2023-07-06,USD,-0.34,-0.32,-0.02,-6.25,
361,2023-07-05,USD,-0.34,-0.32,-0.02,-6.25,
362,2023-07-04,USD,-0.34,-0.32,-0.02,-6.25,
363,2023-07-03,USD,-0.34,-0.32,-0.02,-6.25,
364,2023-07-02,USD,-0.34,-0.32,-0.02,-6.25,
365,2023-07-01,USD,-0.34,-0.32,-0.02,-6.25,
366,2023-06-30,USD,-0.34,-0.32,-0.02,-6.25,72461900
367,2023-06-29,USD,-0.31,-0.29,-0.02,-6.8966,72328200
368,2023-06-28,USD,-0.31,-0.29,-0.02,-6.8966,72328200
369,2023-06-27,USD,-0.31,-0.29,-0.02,-6.8966,72328200
370,2023-06-26,USD,-0.31,-0.29,-0.02,-6.8966,72328200
371,2023-06-25,USD,-0.31,-0.29,-0.02,-6.8966,72328200
372,2023-06-24,USD,-0.31,-0.29,-0.02,-6.8966,72328200
373,2023-06-23,USD,-0.31,-0.29,-0.02,-6.8966,72328200
374,2023-06-22,USD,-0.31,-0.29,-0.02,-6.8966,72328200
375,2023-06-21,USD,-0.31,-0.29,-0.02,-6.8966,72328200
376,2023-06-20,USD,-0.31,-0.29,-0.02,-6.8966,72328200
377,2023-06-19,USD,-0.31,-0.29,-0.02,-6.8966,72328200
378,2023-06-18,USD,-0.31,-0.29,-0.02,-6.8966,72328200
379,2023-06-17,USD,-0.31,-0.29,-0.02,-6.8966,72328200
380,2023-06-16,USD,-0.31,-0.29,-0.02,-6.8966,72328200
381,2023-06-15,USD,-0.31,-0.29,-0.02,-6.8966,72328200
382,2023-06-14,USD,-0.31,-0.29,-0.02,-6.8966,72328200
383,2023-06-13,USD,-0.31,-0.29,-0.02,-6.8966,72328200
384,2023-06-12,USD,-0.31,-0.29,-0.02,-6.8966,72328200
385,2023-06-11,USD,-0.31,-0.29,-0.02,-6.8966,72328200
386,2023-06-10,USD,-0.31,-0.29,-0.02,-6.8966,72328200
387,2023-06-09,USD,-0.31,-0.29,-0.02,-6.8966,72328200
388,2023-06-08,USD,-0.31,-0.29,-0.02,-6.8966,72328200
389,2023-06-07,USD,-0.31,-0.29,-0.02,-6.8966,72328200
390,2023-06-06,USD,-0.31,-0.29,-0.02,-6.8966,72328200
391,2023-06-05,USD,-0.31,-0.29,-0.02,-6.8966,72328200
392,2023-06-04,USD,-0.31,-0.29,-0.02,-6.8966,72328200
393,2023-06-03,USD,-0.31,-0.29,-0.02,-6.8966,72328200
394,2023-06-02,USD,-0.31,-0.29,-0.02,-6.8966,72328200
395,2023-06-01,USD,-0.31,-0.29,-0.02,-6.8966,72328200
396,2023-05-31,USD,-0.31,-0.29,-0.02,-6.8966,72328200
397,2023-05-30,USD,-0.31,-0.29,-0.02,-6.8966,72328200
398,2023-05-29,USD,-0.31,-0.29,-0.02,-6.8966,72328200
399,2023-05-28,USD,-0.31,-0.29,-0.02,-6.8966,72328200
400,2023-05-27,USD,-0.31,-0.29,-0.02,-6.8966,72328200
401,2023-05-26,USD,-0.31,-0.29,-0.02,-6.8966,72328200
402,2023-05-25,USD,-0.31,-0.29,-0.02,-6.8966,72328200
403,2023-05-24,USD,-0.31,-0.29,-0.02,-6.8966,72328200
404,2023-05-23,USD,-0.31,-0.29,-0.02,-6.8966,72328200
405,2023-05-22,USD,-0.31,-0.29,-0.02,-6.8966,72328200
406,2023-05-21,USD,-0.31,-0.29,-0.02,-6.8966,72328200
407,2023-05-20,USD,-0.31,-0.29,-0.02,-6.8966,72328200
408,2023-05-19,USD,-0.31,-0.29,-0.02,-6.8966,72328200
409,2023-05-18,USD,-0.31,-0.29,-0.02,-6.8966,72328200
410,2023-05-17,USD,-0.31,-0.29,-0.02,-6.8966,72328200
411,2023-05-16,USD,-0.31,-0.29,-0.02,-6.8966,72328200
412,2023-05-15,USD,-0.31,-0.29,-0.02,-6.8966,72328200
413,2023-05-14,USD,-0.31,-0.29,-0.02,-6.8966,72328200
414,2023-05-13,USD,-0.31,-0.29,-0.02,-6.8966,72328200
415,2023-05-12,USD,-0.31,-0.29,-0.02,-6.8966,72328200
416,2023-05-11,USD,-0.31,-0.29,-0.02,-6.8966,72328200
417,2023-05-10,USD,-0.31,-0.29,-0.02,-6.8966,72328200
418,2023-05-09,USD,-0.31,-0.29,-0.02,-6.8966,72328200
419,2023-05-08,USD,-0.31,-0.29,-0.02,-6.8966,72328200
420,2023-05-07,USD,-0.31,-0.29,-0.02,-6.8966,72328200
421,2023-05-06,USD,-0.31,-0.29,-0.02,-6.8966,72328200
422,2023-05-05,USD,-0.31,-0.29,-0.02,-6.8966,72328200
423,2023-05-04,USD,-0.31,-0.29,-0.02,-6.8966,72328200
424,2023-05-03,USD,-0.31,-0.29,-0.02,-6.8966,72328200
425,2023-05-02,USD,-0.31,-0.29,-0.02,-6.8966,72328200
426,2023-05-01,USD,-0.31,-0.29,-0.02,-6.8966,72328200
427,2023-04-30,USD,-0.31,-0.29,-0.02,-6.8966,72328200
428,2023-04-29,USD,-0.31,-0.29,-0.02,-6.8966,72328200
429,2023-04-28,USD,-0.31,-0.29,-0.02,-6.8966,72328200
430,2023-04-27,USD,-0.31,-0.29,-0.02,-6.8966,72328200
431,2023-04-26,USD,-0.31,-0.29,-0.02,-6.8966,72328200
