index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,0.64,0.77,-0.13,-16.8831,
336,2023-07-30,USD,0.64,0.77,-0.13,-16.8831,
337,2023-07-29,USD,0.64,0.77,-0.13,-16.8831,
338,2023-07-28,USD,0.64,0.77,-0.13,-16.8831,
339,2023-07-27,USD,0.64,0.77,-0.13,-16.8831,
340,2023-07-26,USD,0.64,0.77,-0.13,-16.8831,
341,2023-07-25,USD,0.64,0.77,-0.13,-16.8831,
342,2023-07-24,USD,0.64,0.77,-0.13,-16.8831,
343,2023-07-23,USD,0.64,0.77,-0.13,-16.8831,
344,2023-07-22,USD,0.64,0.77,-0.13,-16.8831,
345,2023-07-21,USD,0.64,0.77,-0.13,-16.8831,
346,2023-07-20,USD,0.64,0.77,-0.13,-16.8831,
347,2023-07-19,USD,0.64,0.77,-0.13,-16.8831,
348,2023-07-18,USD,0.64,0.77,-0.13,-16.8831,
349,2023-07-17,USD,0.64,0.77,-0.13,-16.8831,
350,2023-07-16,USD,0.64,0.77,-0.13,-16.8831,
351,2023-07-15,USD,0.64,0.77,-0.13,-16.8831,
352,2023-07-14,USD,0.64,0.77,-0.13,-16.8831,
353,2023-07-13,USD,0.64,0.77,-0.13,-16.8831,
354,2023-07-12,USD,0.64,0.77,-0.13,-16.8831,
355,2023-07-11,USD,0.64,0.77,-0.13,-16.8831,
356,2023-07-10,USD,0.64,0.77,-0.13,-16.8831,
357,2023-07-09,USD,0.64,0.77,-0.13,-16.8831,
358,2023-07-08,USD,0.64,0.77,-0.13,-16.8831,
359,2023-07-07,USD,0.64,0.77,-0.13,-16.8831,
360,2023-07-06,USD,0.64,0.77,-0.13,-16.8831,
361,2023-07-05,USD,0.64,0.77,-0.13,-16.8831,
362,2023-07-04,USD,0.64,0.77,-0.13,-16.8831,
363,2023-07-03,USD,0.64,0.77,-0.13,-16.8831,
364,2023-07-02,USD,0.64,0.77,-0.13,-16.8831,
365,2023-07-01,USD,0.64,0.77,-0.13,-16.8831,
366,2023-06-30,USD,0.64,0.77,-0.13,-16.8831,32650000
367,2023-06-29,USD,1.02,0.91,0.11,12.0879,27402900
368,2023-06-28,USD,1.02,0.91,0.11,12.0879,27402900
369,2023-06-27,USD,1.02,0.91,0.11,12.0879,27402900
370,2023-06-26,USD,1.02,0.91,0.11,12.0879,27402900
371,2023-06-25,USD,1.02,0.91,0.11,12.0879,27402900
372,2023-06-24,USD,1.02,0.91,0.11,12.0879,27402900
373,2023-06-23,USD,1.02,0.91,0.11,12.0879,27402900
374,2023-06-22,USD,1.02,0.91,0.11,12.0879,27402900
375,2023-06-21,USD,1.02,0.91,0.11,12.0879,27402900
376,2023-06-20,USD,1.02,0.91,0.11,12.0879,27402900
377,2023-06-19,USD,1.02,0.91,0.11,12.0879,27402900
378,2023-06-18,USD,1.02,0.91,0.11,12.0879,27402900
379,2023-06-17,USD,1.02,0.91,0.11,12.0879,27402900
380,2023-06-16,USD,1.02,0.91,0.11,12.0879,27402900
381,2023-06-15,USD,1.02,0.91,0.11,12.0879,27402900
382,2023-06-14,USD,1.02,0.91,0.11,12.0879,27402900
383,2023-06-13,USD,1.02,0.91,0.11,12.0879,27402900
384,2023-06-12,USD,1.02,0.91,0.11,12.0879,27402900
385,2023-06-11,USD,1.02,0.91,0.11,12.0879,27402900
386,2023-06-10,USD,1.02,0.91,0.11,12.0879,27402900
387,2023-06-09,USD,1.02,0.91,0.11,12.0879,27402900
388,2023-06-08,USD,1.02,0.91,0.11,12.0879,27402900
389,2023-06-07,USD,1.02,0.91,0.11,12.0879,27402900
390,2023-06-06,USD,1.02,0.91,0.11,12.0879,27402900
391,2023-06-05,USD,1.02,0.91,0.11,12.0879,27402900
392,2023-06-04,USD,1.02,0.91,0.11,12.0879,27402900
393,2023-06-03,USD,1.02,0.91,0.11,12.0879,27402900
394,2023-06-02,USD,1.02,0.91,0.11,12.0879,27402900
395,2023-06-01,USD,1.02,0.91,0.11,12.0879,27402900
396,2023-05-31,USD,1.02,0.91,0.11,12.0879,27402900
397,2023-05-30,USD,1.02,0.91,0.11,12.0879,27402900
398,2023-05-29,USD,1.02,0.91,0.11,12.0879,27402900
399,2023-05-28,USD,1.02,0.91,0.11,12.0879,27402900
400,2023-05-27,USD,1.02,0.91,0.11,12.0879,27402900
401,2023-05-26,USD,1.02,0.91,0.11,12.0879,27402900
402,2023-05-25,USD,1.02,0.91,0.11,12.0879,27402900
403,2023-05-24,USD,1.02,0.91,0.11,12.0879,27402900
404,2023-05-23,USD,1.02,0.91,0.11,12.0879,27402900
405,2023-05-22,USD,1.02,0.91,0.11,12.0879,27402900
