index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,0.02,0.23,-0.21,-91.3043,
336,2023-07-30,USD,0.02,0.23,-0.21,-91.3043,
337,2023-07-29,USD,0.02,0.23,-0.21,-91.3043,
338,2023-07-28,USD,0.02,0.23,-0.21,-91.3043,
339,2023-07-27,USD,0.02,0.23,-0.21,-91.3043,
340,2023-07-26,USD,0.02,0.23,-0.21,-91.3043,
341,2023-07-25,USD,0.02,0.23,-0.21,-91.3043,
342,2023-07-24,USD,0.02,0.23,-0.21,-91.3043,
343,2023-07-23,USD,0.02,0.23,-0.21,-91.3043,
344,2023-07-22,USD,0.02,0.23,-0.21,-91.3043,
345,2023-07-21,USD,0.02,0.23,-0.21,-91.3043,
346,2023-07-20,USD,0.02,0.23,-0.21,-91.3043,
347,2023-07-19,USD,0.02,0.23,-0.21,-91.3043,
348,2023-07-18,USD,0.02,0.23,-0.21,-91.3043,
349,2023-07-17,USD,0.02,0.23,-0.21,-91.3043,
350,2023-07-16,USD,0.02,0.23,-0.21,-91.3043,
351,2023-07-15,USD,0.02,0.23,-0.21,-91.3043,
352,2023-07-14,USD,0.02,0.23,-0.21,-91.3043,
353,2023-07-13,USD,0.02,0.23,-0.21,-91.3043,
354,2023-07-12,USD,0.02,0.23,-0.21,-91.3043,
355,2023-07-11,USD,0.02,0.23,-0.21,-91.3043,
356,2023-07-10,USD,0.02,0.23,-0.21,-91.3043,
357,2023-07-09,USD,0.02,0.23,-0.21,-91.3043,
358,2023-07-08,USD,0.02,0.23,-0.21,-91.3043,
359,2023-07-07,USD,0.02,0.23,-0.21,-91.3043,
360,2023-07-06,USD,0.02,0.23,-0.21,-91.3043,
361,2023-07-05,USD,0.02,0.23,-0.21,-91.3043,
362,2023-07-04,USD,0.02,0.23,-0.21,-91.3043,
363,2023-07-03,USD,0.02,0.23,-0.21,-91.3043,
364,2023-07-02,USD,0.02,0.23,-0.21,-91.3043,
365,2023-07-01,USD,0.02,0.23,-0.21,-91.3043,
366,2023-06-30,USD,0.02,0.23,-0.21,-91.3043,16462100
367,2023-06-29,USD,0.05,-0.36,0.41,113.8889,16224100
368,2023-06-28,USD,0.05,-0.36,0.41,113.8889,16224100
369,2023-06-27,USD,0.05,-0.36,0.41,113.8889,16224100
370,2023-06-26,USD,0.05,-0.36,0.41,113.8889,16224100
371,2023-06-25,USD,0.05,-0.36,0.41,113.8889,16224100
372,2023-06-24,USD,0.05,-0.36,0.41,113.8889,16224100
373,2023-06-23,USD,0.05,-0.36,0.41,113.8889,16224100
374,2023-06-22,USD,0.05,-0.36,0.41,113.8889,16224100
375,2023-06-21,USD,0.05,-0.36,0.41,113.8889,16224100
376,2023-06-20,USD,0.05,-0.36,0.41,113.8889,16224100
377,2023-06-19,USD,0.05,-0.36,0.41,113.8889,16224100
378,2023-06-18,USD,0.05,-0.36,0.41,113.8889,16224100
379,2023-06-17,USD,0.05,-0.36,0.41,113.8889,16224100
380,2023-06-16,USD,0.05,-0.36,0.41,113.8889,16224100
381,2023-06-15,USD,0.05,-0.36,0.41,113.8889,16224100
382,2023-06-14,USD,0.05,-0.36,0.41,113.8889,16224100
383,2023-06-13,USD,0.05,-0.36,0.41,113.8889,16224100
384,2023-06-12,USD,0.05,-0.36,0.41,113.8889,16224100
385,2023-06-11,USD,0.05,-0.36,0.41,113.8889,16224100
386,2023-06-10,USD,0.05,-0.36,0.41,113.8889,16224100
387,2023-06-09,USD,0.05,-0.36,0.41,113.8889,16224100
388,2023-06-08,USD,0.05,-0.36,0.41,113.8889,16224100
389,2023-06-07,USD,0.05,-0.36,0.41,113.8889,16224100
390,2023-06-06,USD,0.05,-0.36,0.41,113.8889,16224100
391,2023-06-05,USD,0.05,-0.36,0.41,113.8889,16224100
392,2023-06-04,USD,0.05,-0.36,0.41,113.8889,16224100
393,2023-06-03,USD,0.05,-0.36,0.41,113.8889,16224100
394,2023-06-02,USD,0.05,-0.36,0.41,113.8889,16224100
395,2023-06-01,USD,0.05,-0.36,0.41,113.8889,16224100
396,2023-05-31,USD,0.05,-0.36,0.41,113.8889,16224100
397,2023-05-30,USD,0.05,-0.36,0.41,113.8889,16224100
398,2023-05-29,USD,0.05,-0.36,0.41,113.8889,16224100
399,2023-05-28,USD,0.05,-0.36,0.41,113.8889,16224100
400,2023-05-27,USD,0.05,-0.36,0.41,113.8889,16224100
401,2023-05-26,USD,0.05,-0.36,0.41,113.8889,16224100
402,2023-05-25,USD,0.05,-0.36,0.41,113.8889,16224100
403,2023-05-24,USD,0.05,-0.36,0.41,113.8889,16224100
404,2023-05-23,USD,0.05,-0.36,0.41,113.8889,16224100
405,2023-05-22,USD,0.05,-0.36,0.41,113.8889,16224100
406,2023-05-21,USD,0.05,-0.36,0.41,113.8889,16224100
407,2023-05-20,USD,0.05,-0.36,0.41,113.8889,16224100
408,2023-05-19,USD,0.05,-0.36,0.41,113.8889,16224100
409,2023-05-18,USD,0.05,-0.36,0.41,113.8889,16224100
410,2023-05-17,USD,0.05,-0.36,0.41,113.8889,16224100
411,2023-05-16,USD,0.05,-0.36,0.41,113.8889,16224100
412,2023-05-15,USD,0.05,-0.36,0.41,113.8889,16224100
413,2023-05-14,USD,0.05,-0.36,0.41,113.8889,16224100
414,2023-05-13,USD,0.05,-0.36,0.41,113.8889,16224100
415,2023-05-12,USD,0.05,-0.36,0.41,113.8889,16224100
416,2023-05-11,USD,0.05,-0.36,0.41,113.8889,16224100
417,2023-05-10,USD,0.05,-0.36,0.41,113.8889,16224100
418,2023-05-09,USD,0.05,-0.36,0.41,113.8889,16224100
419,2023-05-08,USD,0.05,-0.36,0.41,113.8889,16224100
420,2023-05-07,USD,0.05,-0.36,0.41,113.8889,16224100
421,2023-05-06,USD,0.05,-0.36,0.41,113.8889,16224100
422,2023-05-05,USD,0.05,-0.36,0.41,113.8889,16224100
423,2023-05-04,USD,0.05,-0.36,0.41,113.8889,16224100
424,2023-05-03,USD,0.05,-0.36,0.41,113.8889,16224100
425,2023-05-02,USD,0.05,-0.36,0.41,113.8889,16224100
426,2023-05-01,USD,0.05,-0.36,0.41,113.8889,16224100
427,2023-04-30,USD,0.05,-0.36,0.41,113.8889,16224100
428,2023-04-29,USD,0.05,-0.36,0.41,113.8889,16224100
429,2023-04-28,USD,0.05,-0.36,0.41,113.8889,16224100
430,2023-04-27,USD,0.05,-0.36,0.41,113.8889,16224100
431,2023-04-26,USD,0.05,-0.36,0.41,113.8889,16224100
432,2023-04-25,USD,0.05,-0.36,0.41,113.8889,16224100
433,2023-04-24,USD,0.05,-0.36,0.41,113.8889,16224100
434,2023-04-23,USD,0.05,-0.36,0.41,113.8889,16224100
435,2023-04-22,USD,0.05,-0.36,0.41,113.8889,16224100
436,2023-04-21,USD,0.05,-0.36,0.41,113.8889,16224100
