index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,-0.55,-0.5,-0.05,-10,
336,2023-07-30,USD,-0.55,-0.5,-0.05,-10,
337,2023-07-29,USD,-0.55,-0.5,-0.05,-10,
338,2023-07-28,USD,-0.55,-0.5,-0.05,-10,
339,2023-07-27,USD,-0.55,-0.5,-0.05,-10,
340,2023-07-26,USD,-0.55,-0.5,-0.05,-10,
341,2023-07-25,USD,-0.55,-0.5,-0.05,-10,
342,2023-07-24,USD,-0.55,-0.5,-0.05,-10,
343,2023-07-23,USD,-0.55,-0.5,-0.05,-10,
344,2023-07-22,USD,-0.55,-0.5,-0.05,-10,
345,2023-07-21,USD,-0.55,-0.5,-0.05,-10,
346,2023-07-20,USD,-0.55,-0.5,-0.05,-10,
347,2023-07-19,USD,-0.55,-0.5,-0.05,-10,
348,2023-07-18,USD,-0.55,-0.5,-0.05,-10,
349,2023-07-17,USD,-0.55,-0.5,-0.05,-10,
350,2023-07-16,USD,-0.55,-0.5,-0.05,-10,
351,2023-07-15,USD,-0.55,-0.5,-0.05,-10,
352,2023-07-14,USD,-0.55,-0.5,-0.05,-10,
353,2023-07-13,USD,-0.55,-0.5,-0.05,-10,
354,2023-07-12,USD,-0.55,-0.5,-0.05,-10,
355,2023-07-11,USD,-0.55,-0.5,-0.05,-10,
356,2023-07-10,USD,-0.55,-0.5,-0.05,-10,
357,2023-07-09,USD,-0.55,-0.5,-0.05,-10,
358,2023-07-08,USD,-0.55,-0.5,-0.05,-10,
359,2023-07-07,USD,-0.55,-0.5,-0.05,-10,
360,2023-07-06,USD,-0.55,-0.5,-0.05,-10,
361,2023-07-05,USD,-0.55,-0.5,-0.05,-10,
362,2023-07-04,USD,-0.55,-0.5,-0.05,-10,
363,2023-07-03,USD,-0.55,-0.5,-0.05,-10,
364,2023-07-02,USD,-0.55,-0.5,-0.05,-10,
365,2023-07-01,USD,-0.55,-0.5,-0.05,-10,
366,2023-06-30,USD,-0.55,-0.5,-0.05,-10,151869100
367,2023-06-29,USD,-0.62,-0.61,-0.01,-1.6393,151083700
368,2023-06-28,USD,-0.62,-0.61,-0.01,-1.6393,151083700
369,2023-06-27,USD,-0.62,-0.61,-0.01,-1.6393,151083700
370,2023-06-26,USD,-0.62,-0.61,-0.01,-1.6393,151083700
371,2023-06-25,USD,-0.62,-0.61,-0.01,-1.6393,151083700
372,2023-06-24,USD,-0.62,-0.61,-0.01,-1.6393,151083700
373,2023-06-23,USD,-0.62,-0.61,-0.01,-1.6393,151083700
374,2023-06-22,USD,-0.62,-0.61,-0.01,-1.6393,151083700
375,2023-06-21,USD,-0.62,-0.61,-0.01,-1.6393,151083700
376,2023-06-20,USD,-0.62,-0.61,-0.01,-1.6393,151083700
377,2023-06-19,USD,-0.62,-0.61,-0.01,-1.6393,151083700
378,2023-06-18,USD,-0.62,-0.61,-0.01,-1.6393,151083700
379,2023-06-17,USD,-0.62,-0.61,-0.01,-1.6393,151083700
380,2023-06-16,USD,-0.62,-0.61,-0.01,-1.6393,151083700
381,2023-06-15,USD,-0.62,-0.61,-0.01,-1.6393,151083700
382,2023-06-14,USD,-0.62,-0.61,-0.01,-1.6393,151083700
383,2023-06-13,USD,-0.62,-0.61,-0.01,-1.6393,151083700
384,2023-06-12,USD,-0.62,-0.61,-0.01,-1.6393,151083700
385,2023-06-11,USD,-0.62,-0.61,-0.01,-1.6393,151083700
386,2023-06-10,USD,-0.62,-0.61,-0.01,-1.6393,151083700
387,2023-06-09,USD,-0.62,-0.61,-0.01,-1.6393,151083700
388,2023-06-08,USD,-0.62,-0.61,-0.01,-1.6393,151083700
389,2023-06-07,USD,-0.62,-0.61,-0.01,-1.6393,151083700
390,2023-06-06,USD,-0.62,-0.61,-0.01,-1.6393,151083700
391,2023-06-05,USD,-0.62,-0.61,-0.01,-1.6393,151083700
392,2023-06-04,USD,-0.62,-0.61,-0.01,-1.6393,151083700
393,2023-06-03,USD,-0.62,-0.61,-0.01,-1.6393,151083700
394,2023-06-02,USD,-0.62,-0.61,-0.01,-1.6393,151083700
395,2023-06-01,USD,-0.62,-0.61,-0.01,-1.6393,151083700
396,2023-05-31,USD,-0.62,-0.61,-0.01,-1.6393,151083700
397,2023-05-30,USD,-0.62,-0.61,-0.01,-1.6393,151083700
398,2023-05-29,USD,-0.62,-0.61,-0.01,-1.6393,151083700
399,2023-05-28,USD,-0.62,-0.61,-0.01,-1.6393,151083700
400,2023-05-27,USD,-0.62,-0.61,-0.01,-1.6393,151083700
401,2023-05-26,USD,-0.62,-0.61,-0.01,-1.6393,151083700
402,2023-05-25,USD,-0.62,-0.61,-0.01,-1.6393,151083700
403,2023-05-24,USD,-0.62,-0.61,-0.01,-1.6393,151083700
404,2023-05-23,USD,-0.62,-0.61,-0.01,-1.6393,151083700
405,2023-05-22,USD,-0.62,-0.61,-0.01,-1.6393,151083700
406,2023-05-21,USD,-0.62,-0.61,-0.01,-1.6393,151083700
407,2023-05-20,USD,-0.62,-0.61,-0.01,-1.6393,151083700
408,2023-05-19,USD,-0.62,-0.61,-0.01,-1.6393,151083700
409,2023-05-18,USD,-0.62,-0.61,-0.01,-1.6393,151083700
410,2023-05-17,USD,-0.62,-0.61,-0.01,-1.6393,151083700
411,2023-05-16,USD,-0.62,-0.61,-0.01,-1.6393,151083700
412,2023-05-15,USD,-0.62,-0.61,-0.01,-1.6393,151083700
413,2023-05-14,USD,-0.62,-0.61,-0.01,-1.6393,151083700
414,2023-05-13,USD,-0.62,-0.61,-0.01,-1.6393,151083700
415,2023-05-12,USD,-0.62,-0.61,-0.01,-1.6393,151083700
416,2023-05-11,USD,-0.62,-0.61,-0.01,-1.6393,151083700
417,2023-05-10,USD,-0.62,-0.61,-0.01,-1.6393,151083700
418,2023-05-09,USD,-0.62,-0.61,-0.01,-1.6393,151083700
419,2023-05-08,USD,-0.62,-0.61,-0.01,-1.6393,151083700
420,2023-05-07,USD,-0.62,-0.61,-0.01,-1.6393,151083700
421,2023-05-06,USD,-0.62,-0.61,-0.01,-1.6393,151083700
422,2023-05-05,USD,-0.62,-0.61,-0.01,-1.6393,151083700
423,2023-05-04,USD,-0.62,-0.61,-0.01,-1.6393,151083700
