index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
244,2023-07-31,USD,,-0.05,,,
245,2023-07-30,USD,,-0.05,,,
246,2023-07-29,USD,,-0.05,,,
247,2023-07-28,USD,,-0.05,,,
248,2023-07-27,USD,,-0.05,,,
249,2023-07-26,USD,,-0.05,,,
250,2023-07-25,USD,,-0.05,,,
251,2023-07-24,USD,,-0.05,,,
252,2023-07-23,USD,,-0.05,,,
253,2023-07-22,USD,,-0.05,,,
254,2023-07-21,USD,,-0.05,,,
255,2023-07-20,USD,,-0.05,,,
256,2023-07-19,USD,,-0.05,,,
257,2023-07-18,USD,,-0.05,,,
258,2023-07-17,USD,,-0.05,,,
259,2023-07-16,USD,,-0.05,,,
260,2023-07-15,USD,,-0.05,,,
261,2023-07-14,USD,,-0.05,,,
262,2023-07-13,USD,,-0.05,,,
263,2023-07-12,USD,,-0.05,,,
264,2023-07-11,USD,,-0.05,,,
265,2023-07-10,USD,,-0.05,,,
266,2023-07-09,USD,,-0.05,,,
267,2023-07-08,USD,,-0.05,,,
268,2023-07-07,USD,,-0.05,,,
269,2023-07-06,USD,,-0.05,,,
270,2023-07-05,USD,,-0.05,,,
271,2023-07-04,USD,,-0.05,,,
272,2023-07-03,USD,,-0.05,,,
273,2023-07-02,USD,,-0.05,,,
274,2023-07-01,USD,,-0.05,,,
275,2023-06-30,USD,,-0.05,,,
276,2023-06-29,USD,-0.09,-0.1,0.01,10,
277,2023-06-28,USD,-0.09,-0.1,0.01,10,
278,2023-06-27,USD,-0.09,-0.1,0.01,10,
279,2023-06-26,USD,-0.09,-0.1,0.01,10,
280,2023-06-25,USD,-0.09,-0.1,0.01,10,
281,2023-06-24,USD,-0.09,-0.1,0.01,10,
282,2023-06-23,USD,-0.09,-0.1,0.01,10,
283,2023-06-22,USD,-0.09,-0.1,0.01,10,
284,2023-06-21,USD,-0.09,-0.1,0.01,10,
285,2023-06-20,USD,-0.09,-0.1,0.01,10,
286,2023-06-19,USD,-0.09,-0.1,0.01,10,
287,2023-06-18,USD,-0.09,-0.1,0.01,10,
288,2023-06-17,USD,-0.09,-0.1,0.01,10,
289,2023-06-16,USD,-0.09,-0.1,0.01,10,
290,2023-06-15,USD,-0.09,-0.1,0.01,10,
291,2023-06-14,USD,-0.09,-0.1,0.01,10,
292,2023-06-13,USD,-0.09,-0.1,0.01,10,
293,2023-06-12,USD,-0.09,-0.1,0.01,10,
294,2023-06-11,USD,-0.09,-0.1,0.01,10,
295,2023-06-10,USD,-0.09,-0.1,0.01,10,
296,2023-06-09,USD,-0.09,-0.1,0.01,10,
297,2023-06-08,USD,-0.09,-0.1,0.01,10,
298,2023-06-07,USD,-0.09,-0.1,0.01,10,
299,2023-06-06,USD,-0.09,-0.1,0.01,10,
300,2023-06-05,USD,-0.09,-0.1,0.01,10,
301,2023-06-04,USD,-0.09,-0.1,0.01,10,
302,2023-06-03,USD,-0.09,-0.1,0.01,10,
303,2023-06-02,USD,-0.09,-0.1,0.01,10,
304,2023-06-01,USD,-0.09,-0.1,0.01,10,
305,2023-05-31,USD,-0.09,-0.1,0.01,10,
306,2023-05-30,USD,-0.09,-0.1,0.01,10,
307,2023-05-29,USD,-0.09,-0.1,0.01,10,
