index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,0.42,0.4,0.02,5,
336,2023-07-30,USD,0.42,0.4,0.02,5,
337,2023-07-29,USD,0.42,0.4,0.02,5,
338,2023-07-28,USD,0.42,0.4,0.02,5,
339,2023-07-27,USD,0.42,0.4,0.02,5,
340,2023-07-26,USD,0.42,0.4,0.02,5,
341,2023-07-25,USD,0.42,0.4,0.02,5,
342,2023-07-24,USD,0.42,0.4,0.02,5,
343,2023-07-23,USD,0.42,0.4,0.02,5,
344,2023-07-22,USD,0.42,0.4,0.02,5,
345,2023-07-21,USD,0.42,0.4,0.02,5,
346,2023-07-20,USD,0.42,0.4,0.02,5,
347,2023-07-19,USD,0.42,0.4,0.02,5,
348,2023-07-18,USD,0.42,0.4,0.02,5,
349,2023-07-17,USD,0.42,0.4,0.02,5,
350,2023-07-16,USD,0.42,0.4,0.02,5,
351,2023-07-15,USD,0.42,0.4,0.02,5,
352,2023-07-14,USD,0.42,0.4,0.02,5,
353,2023-07-13,USD,0.42,0.4,0.02,5,
354,2023-07-12,USD,0.42,0.4,0.02,5,
355,2023-07-11,USD,0.42,0.4,0.02,5,
356,2023-07-10,USD,0.42,0.4,0.02,5,
357,2023-07-09,USD,0.42,0.4,0.02,5,
358,2023-07-08,USD,0.42,0.4,0.02,5,
359,2023-07-07,USD,0.42,0.4,0.02,5,
360,2023-07-06,USD,0.42,0.4,0.02,5,
361,2023-07-05,USD,0.42,0.4,0.02,5,
362,2023-07-04,USD,0.42,0.4,0.02,5,
363,2023-07-03,USD,0.42,0.4,0.02,5,
364,2023-07-02,USD,0.42,0.4,0.02,5,
365,2023-07-01,USD,0.42,0.4,0.02,5,
366,2023-06-30,USD,0.42,0.4,0.02,5,1409100000
367,2023-06-29,USD,0.34,0.33,0.01,3.0303,1417000000
368,2023-06-28,USD,0.34,0.33,0.01,3.0303,1417000000
369,2023-06-27,USD,0.34,0.33,0.01,3.0303,1417000000
370,2023-06-26,USD,0.34,0.33,0.01,3.0303,1417000000
371,2023-06-25,USD,0.34,0.33,0.01,3.0303,1417000000
372,2023-06-24,USD,0.34,0.33,0.01,3.0303,1417000000
373,2023-06-23,USD,0.34,0.33,0.01,3.0303,1417000000
374,2023-06-22,USD,0.34,0.33,0.01,3.0303,1417000000
375,2023-06-21,USD,0.34,0.33,0.01,3.0303,1417000000
376,2023-06-20,USD,0.34,0.33,0.01,3.0303,1417000000
377,2023-06-19,USD,0.34,0.33,0.01,3.0303,1417000000
378,2023-06-18,USD,0.34,0.33,0.01,3.0303,1417000000
379,2023-06-17,USD,0.34,0.33,0.01,3.0303,1417000000
380,2023-06-16,USD,0.34,0.33,0.01,3.0303,1417000000
381,2023-06-15,USD,0.34,0.33,0.01,3.0303,1417000000
382,2023-06-14,USD,0.34,0.33,0.01,3.0303,1417000000
383,2023-06-13,USD,0.34,0.33,0.01,3.0303,1417000000
384,2023-06-12,USD,0.34,0.33,0.01,3.0303,1417000000
385,2023-06-11,USD,0.34,0.33,0.01,3.0303,1417000000
386,2023-06-10,USD,0.34,0.33,0.01,3.0303,1417000000
387,2023-06-09,USD,0.34,0.33,0.01,3.0303,1417000000
388,2023-06-08,USD,0.34,0.33,0.01,3.0303,1417000000
389,2023-06-07,USD,0.34,0.33,0.01,3.0303,1417000000
390,2023-06-06,USD,0.34,0.33,0.01,3.0303,1417000000
391,2023-06-05,USD,0.34,0.33,0.01,3.0303,1417000000
392,2023-06-04,USD,0.34,0.33,0.01,3.0303,1417000000
393,2023-06-03,USD,0.34,0.33,0.01,3.0303,1417000000
394,2023-06-02,USD,0.34,0.33,0.01,3.0303,1417000000
395,2023-06-01,USD,0.34,0.33,0.01,3.0303,1417000000
396,2023-05-31,USD,0.34,0.33,0.01,3.0303,1417000000
397,2023-05-30,USD,0.34,0.33,0.01,3.0303,1417000000
398,2023-05-29,USD,0.34,0.33,0.01,3.0303,1417000000
399,2023-05-28,USD,0.34,0.33,0.01,3.0303,1417000000
400,2023-05-27,USD,0.34,0.33,0.01,3.0303,1417000000
401,2023-05-26,USD,0.34,0.33,0.01,3.0303,1417000000
