index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,0.06,-0.07,0.13,185.7143,
336,2023-07-30,USD,0.06,-0.07,0.13,185.7143,
337,2023-07-29,USD,0.06,-0.07,0.13,185.7143,
338,2023-07-28,USD,0.06,-0.07,0.13,185.7143,
339,2023-07-27,USD,0.06,-0.07,0.13,185.7143,
340,2023-07-26,USD,0.06,-0.07,0.13,185.7143,
341,2023-07-25,USD,0.06,-0.07,0.13,185.7143,
342,2023-07-24,USD,0.06,-0.07,0.13,185.7143,
343,2023-07-23,USD,0.06,-0.07,0.13,185.7143,
344,2023-07-22,USD,0.06,-0.07,0.13,185.7143,
345,2023-07-21,USD,0.06,-0.07,0.13,185.7143,
346,2023-07-20,USD,0.06,-0.07,0.13,185.7143,
347,2023-07-19,USD,0.06,-0.07,0.13,185.7143,
348,2023-07-18,USD,0.06,-0.07,0.13,185.7143,
349,2023-07-17,USD,0.06,-0.07,0.13,185.7143,
350,2023-07-16,USD,0.06,-0.07,0.13,185.7143,
351,2023-07-15,USD,0.06,-0.07,0.13,185.7143,
352,2023-07-14,USD,0.06,-0.07,0.13,185.7143,
353,2023-07-13,USD,0.06,-0.07,0.13,185.7143,
354,2023-07-12,USD,0.06,-0.07,0.13,185.7143,
355,2023-07-11,USD,0.06,-0.07,0.13,185.7143,
356,2023-07-10,USD,0.06,-0.07,0.13,185.7143,
357,2023-07-09,USD,0.06,-0.07,0.13,185.7143,
358,2023-07-08,USD,0.06,-0.07,0.13,185.7143,
359,2023-07-07,USD,0.06,-0.07,0.13,185.7143,
360,2023-07-06,USD,0.06,-0.07,0.13,185.7143,
361,2023-07-05,USD,0.06,-0.07,0.13,185.7143,
362,2023-07-04,USD,0.06,-0.07,0.13,185.7143,
363,2023-07-03,USD,0.06,-0.07,0.13,185.7143,
364,2023-07-02,USD,0.06,-0.07,0.13,185.7143,
365,2023-07-01,USD,0.06,-0.07,0.13,185.7143,
366,2023-06-30,USD,0.06,-0.07,0.13,185.7143,83130600
367,2023-06-29,USD,-0.47,-0.81,0.34,41.9753,81911400
368,2023-06-28,USD,-0.47,-0.81,0.34,41.9753,81911400
369,2023-06-27,USD,-0.47,-0.81,0.34,41.9753,81911400
370,2023-06-26,USD,-0.47,-0.81,0.34,41.9753,81911400
371,2023-06-25,USD,-0.47,-0.81,0.34,41.9753,81911400
372,2023-06-24,USD,-0.47,-0.81,0.34,41.9753,81911400
373,2023-06-23,USD,-0.47,-0.81,0.34,41.9753,81911400
374,2023-06-22,USD,-0.47,-0.81,0.34,41.9753,81911400
375,2023-06-21,USD,-0.47,-0.81,0.34,41.9753,81911400
376,2023-06-20,USD,-0.47,-0.81,0.34,41.9753,81911400
377,2023-06-19,USD,-0.47,-0.81,0.34,41.9753,81911400
378,2023-06-18,USD,-0.47,-0.81,0.34,41.9753,81911400
379,2023-06-17,USD,-0.47,-0.81,0.34,41.9753,81911400
380,2023-06-16,USD,-0.47,-0.81,0.34,41.9753,81911400
381,2023-06-15,USD,-0.47,-0.81,0.34,41.9753,81911400
382,2023-06-14,USD,-0.47,-0.81,0.34,41.9753,81911400
383,2023-06-13,USD,-0.47,-0.81,0.34,41.9753,81911400
384,2023-06-12,USD,-0.47,-0.81,0.34,41.9753,81911400
385,2023-06-11,USD,-0.47,-0.81,0.34,41.9753,81911400
386,2023-06-10,USD,-0.47,-0.81,0.34,41.9753,81911400
387,2023-06-09,USD,-0.47,-0.81,0.34,41.9753,81911400
388,2023-06-08,USD,-0.47,-0.81,0.34,41.9753,81911400
389,2023-06-07,USD,-0.47,-0.81,0.34,41.9753,81911400
390,2023-06-06,USD,-0.47,-0.81,0.34,41.9753,81911400
391,2023-06-05,USD,-0.47,-0.81,0.34,41.9753,81911400
392,2023-06-04,USD,-0.47,-0.81,0.34,41.9753,81911400
393,2023-06-03,USD,-0.47,-0.81,0.34,41.9753,81911400
394,2023-06-02,USD,-0.47,-0.81,0.34,41.9753,81911400
395,2023-06-01,USD,-0.47,-0.81,0.34,41.9753,81911400
396,2023-05-31,USD,-0.47,-0.81,0.34,41.9753,81911400
397,2023-05-30,USD,-0.47,-0.81,0.34,41.9753,81911400
398,2023-05-29,USD,-0.47,-0.81,0.34,41.9753,81911400
399,2023-05-28,USD,-0.47,-0.81,0.34,41.9753,81911400
400,2023-05-27,USD,-0.47,-0.81,0.34,41.9753,81911400
401,2023-05-26,USD,-0.47,-0.81,0.34,41.9753,81911400
402,2023-05-25,USD,-0.47,-0.81,0.34,41.9753,81911400
403,2023-05-24,USD,-0.47,-0.81,0.34,41.9753,81911400
404,2023-05-23,USD,-0.47,-0.81,0.34,41.9753,81911400
405,2023-05-22,USD,-0.47,-0.81,0.34,41.9753,81911400
406,2023-05-21,USD,-0.47,-0.81,0.34,41.9753,81911400
407,2023-05-20,USD,-0.47,-0.81,0.34,41.9753,81911400
408,2023-05-19,USD,-0.47,-0.81,0.34,41.9753,81911400
409,2023-05-18,USD,-0.47,-0.81,0.34,41.9753,81911400
410,2023-05-17,USD,-0.47,-0.81,0.34,41.9753,81911400
411,2023-05-16,USD,-0.47,-0.81,0.34,41.9753,81911400
412,2023-05-15,USD,-0.47,-0.81,0.34,41.9753,81911400
413,2023-05-14,USD,-0.47,-0.81,0.34,41.9753,81911400
414,2023-05-13,USD,-0.47,-0.81,0.34,41.9753,81911400
415,2023-05-12,USD,-0.47,-0.81,0.34,41.9753,81911400
416,2023-05-11,USD,-0.47,-0.81,0.34,41.9753,81911400
417,2023-05-10,USD,-0.47,-0.81,0.34,41.9753,81911400
418,2023-05-09,USD,-0.47,-0.81,0.34,41.9753,81911400
419,2023-05-08,USD,-0.47,-0.81,0.34,41.9753,81911400
420,2023-05-07,USD,-0.47,-0.81,0.34,41.9753,81911400
421,2023-05-06,USD,-0.47,-0.81,0.34,41.9753,81911400
422,2023-05-05,USD,-0.47,-0.81,0.34,41.9753,81911400
423,2023-05-04,USD,-0.47,-0.81,0.34,41.9753,81911400
424,2023-05-03,USD,-0.47,-0.81,0.34,41.9753,81911400
425,2023-05-02,USD,-0.47,-0.81,0.34,41.9753,81911400
