index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,0.57,0.36,0.21,58.3333,
336,2023-07-30,USD,0.57,0.36,0.21,58.3333,
337,2023-07-29,USD,0.57,0.36,0.21,58.3333,
338,2023-07-28,USD,0.57,0.36,0.21,58.3333,
339,2023-07-27,USD,0.57,0.36,0.21,58.3333,
340,2023-07-26,USD,0.57,0.36,0.21,58.3333,
341,2023-07-25,USD,0.57,0.36,0.21,58.3333,
342,2023-07-24,USD,0.57,0.36,0.21,58.3333,
343,2023-07-23,USD,0.57,0.36,0.21,58.3333,
344,2023-07-22,USD,0.57,0.36,0.21,58.3333,
345,2023-07-21,USD,0.57,0.36,0.21,58.3333,
346,2023-07-20,USD,0.57,0.36,0.21,58.3333,
347,2023-07-19,USD,0.57,0.36,0.21,58.3333,
348,2023-07-18,USD,0.57,0.36,0.21,58.3333,
349,2023-07-17,USD,0.57,0.36,0.21,58.3333,
350,2023-07-16,USD,0.57,0.36,0.21,58.3333,
351,2023-07-15,USD,0.57,0.36,0.21,58.3333,
352,2023-07-14,USD,0.57,0.36,0.21,58.3333,
353,2023-07-13,USD,0.57,0.36,0.21,58.3333,
354,2023-07-12,USD,0.57,0.36,0.21,58.3333,
355,2023-07-11,USD,0.57,0.36,0.21,58.3333,
356,2023-07-10,USD,0.57,0.36,0.21,58.3333,
357,2023-07-09,USD,0.57,0.36,0.21,58.3333,
358,2023-07-08,USD,0.57,0.36,0.21,58.3333,
359,2023-07-07,USD,0.57,0.36,0.21,58.3333,
360,2023-07-06,USD,0.57,0.36,0.21,58.3333,
361,2023-07-05,USD,0.57,0.36,0.21,58.3333,
362,2023-07-04,USD,0.57,0.36,0.21,58.3333,
363,2023-07-03,USD,0.57,0.36,0.21,58.3333,
364,2023-07-02,USD,0.57,0.36,0.21,58.3333,
365,2023-07-01,USD,0.57,0.36,0.21,58.3333,
366,2023-06-30,USD,0.57,0.36,0.21,58.3333,79515000
367,2023-06-29,USD,0.36,0.47,-0.11,-23.4043,83057000
368,2023-06-28,USD,0.36,0.47,-0.11,-23.4043,83057000
369,2023-06-27,USD,0.36,0.47,-0.11,-23.4043,83057000
370,2023-06-26,USD,0.36,0.47,-0.11,-23.4043,83057000
371,2023-06-25,USD,0.36,0.47,-0.11,-23.4043,83057000
372,2023-06-24,USD,0.36,0.47,-0.11,-23.4043,83057000
373,2023-06-23,USD,0.36,0.47,-0.11,-23.4043,83057000
374,2023-06-22,USD,0.36,0.47,-0.11,-23.4043,83057000
375,2023-06-21,USD,0.36,0.47,-0.11,-23.4043,83057000
376,2023-06-20,USD,0.36,0.47,-0.11,-23.4043,83057000
377,2023-06-19,USD,0.36,0.47,-0.11,-23.4043,83057000
378,2023-06-18,USD,0.36,0.47,-0.11,-23.4043,83057000
379,2023-06-17,USD,0.36,0.47,-0.11,-23.4043,83057000
380,2023-06-16,USD,0.36,0.47,-0.11,-23.4043,83057000
381,2023-06-15,USD,0.36,0.47,-0.11,-23.4043,83057000
382,2023-06-14,USD,0.36,0.47,-0.11,-23.4043,83057000
383,2023-06-13,USD,0.36,0.47,-0.11,-23.4043,83057000
384,2023-06-12,USD,0.36,0.47,-0.11,-23.4043,83057000
385,2023-06-11,USD,0.36,0.47,-0.11,-23.4043,83057000
386,2023-06-10,USD,0.36,0.47,-0.11,-23.4043,83057000
387,2023-06-09,USD,0.36,0.47,-0.11,-23.4043,83057000
388,2023-06-08,USD,0.36,0.47,-0.11,-23.4043,83057000
