index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
335,2023-07-31,USD,1.44,1.25,0.19,15.2,
336,2023-07-30,USD,1.44,1.25,0.19,15.2,
337,2023-07-29,USD,1.44,1.25,0.19,15.2,
338,2023-07-28,USD,1.44,1.25,0.19,15.2,
339,2023-07-27,USD,1.44,1.25,0.19,15.2,
340,2023-07-26,USD,1.44,1.25,0.19,15.2,
341,2023-07-25,USD,1.44,1.25,0.19,15.2,
342,2023-07-24,USD,1.44,1.25,0.19,15.2,
343,2023-07-23,USD,1.44,1.25,0.19,15.2,
344,2023-07-22,USD,1.44,1.25,0.19,15.2,
345,2023-07-21,USD,1.44,1.25,0.19,15.2,
346,2023-07-20,USD,1.44,1.25,0.19,15.2,
347,2023-07-19,USD,1.44,1.25,0.19,15.2,
348,2023-07-18,USD,1.44,1.25,0.19,15.2,
349,2023-07-17,USD,1.44,1.25,0.19,15.2,
350,2023-07-16,USD,1.44,1.25,0.19,15.2,
351,2023-07-15,USD,1.44,1.25,0.19,15.2,
352,2023-07-14,USD,1.44,1.25,0.19,15.2,
353,2023-07-13,USD,1.44,1.25,0.19,15.2,
354,2023-07-12,USD,1.44,1.25,0.19,15.2,
355,2023-07-11,USD,1.44,1.25,0.19,15.2,
356,2023-07-10,USD,1.44,1.25,0.19,15.2,
357,2023-07-09,USD,1.44,1.25,0.19,15.2,
358,2023-07-08,USD,1.44,1.25,0.19,15.2,
359,2023-07-07,USD,1.44,1.25,0.19,15.2,
360,2023-07-06,USD,1.44,1.25,0.19,15.2,
361,2023-07-05,USD,1.44,1.25,0.19,15.2,
362,2023-07-04,USD,1.44,1.25,0.19,15.2,
363,2023-07-03,USD,1.44,1.25,0.19,15.2,
364,2023-07-02,USD,1.44,1.25,0.19,15.2,
365,2023-07-01,USD,1.44,1.25,0.19,15.2,
366,2023-06-30,USD,1.44,1.25,0.19,15.2,22139700
367,2023-06-29,USD,1.39,1.1,0.29,26.3636,22072300
368,2023-06-28,USD,1.39,1.1,0.29,26.3636,22072300
369,2023-06-27,USD,1.39,1.1,0.29,26.3636,22072300
370,2023-06-26,USD,1.39,1.1,0.29,26.3636,22072300
371,2023-06-25,USD,1.39,1.1,0.29,26.3636,22072300
372,2023-06-24,USD,1.39,1.1,0.29,26.3636,22072300
373,2023-06-23,USD,1.39,1.1,0.29,26.3636,22072300
374,2023-06-22,USD,1.39,1.1,0.29,26.3636,22072300
375,2023-06-21,USD,1.39,1.1,0.29,26.3636,22072300
376,2023-06-20,USD,1.39,1.1,0.29,26.3636,22072300
377,2023-06-19,USD,1.39,1.1,0.29,26.3636,22072300
378,2023-06-18,USD,1.39,1.1,0.29,26.3636,22072300
379,2023-06-17,USD,1.39,1.1,0.29,26.3636,22072300
380,2023-06-16,USD,1.39,1.1,0.29,26.3636,22072300
381,2023-06-15,USD,1.39,1.1,0.29,26.3636,22072300
382,2023-06-14,USD,1.39,1.1,0.29,26.3636,22072300
383,2023-06-13,USD,1.39,1.1,0.29,26.3636,22072300
384,2023-06-12,USD,1.39,1.1,0.29,26.3636,22072300
385,2023-06-11,USD,1.39,1.1,0.29,26.3636,22072300
386,2023-06-10,USD,1.39,1.1,0.29,26.3636,22072300
387,2023-06-09,USD,1.39,1.1,0.29,26.3636,22072300
388,2023-06-08,USD,1.39,1.1,0.29,26.3636,22072300
389,2023-06-07,USD,1.39,1.1,0.29,26.3636,22072300
390,2023-06-06,USD,1.39,1.1,0.29,26.3636,22072300
391,2023-06-05,USD,1.39,1.1,0.29,26.3636,22072300
392,2023-06-04,USD,1.39,1.1,0.29,26.3636,22072300
393,2023-06-03,USD,1.39,1.1,0.29,26.3636,22072300
394,2023-06-02,USD,1.39,1.1,0.29,26.3636,22072300
395,2023-06-01,USD,1.39,1.1,0.29,26.3636,22072300
396,2023-05-31,USD,1.39,1.1,0.29,26.3636,22072300
397,2023-05-30,USD,1.39,1.1,0.29,26.3636,22072300
398,2023-05-29,USD,1.39,1.1,0.29,26.3636,22072300
399,2023-05-28,USD,1.39,1.1,0.29,26.3636,22072300
400,2023-05-27,USD,1.39,1.1,0.29,26.3636,22072300
401,2023-05-26,USD,1.39,1.1,0.29,26.3636,22072300
402,2023-05-25,USD,1.39,1.1,0.29,26.3636,22072300
403,2023-05-24,USD,1.39,1.1,0.29,26.3636,22072300
404,2023-05-23,USD,1.39,1.1,0.29,26.3636,22072300
405,2023-05-22,USD,1.39,1.1,0.29,26.3636,22072300
406,2023-05-21,USD,1.39,1.1,0.29,26.3636,22072300
407,2023-05-20,USD,1.39,1.1,0.29,26.3636,22072300
408,2023-05-19,USD,1.39,1.1,0.29,26.3636,22072300
409,2023-05-18,USD,1.39,1.1,0.29,26.3636,22072300
410,2023-05-17,USD,1.39,1.1,0.29,26.3636,22072300
411,2023-05-16,USD,1.39,1.1,0.29,26.3636,22072300
412,2023-05-15,USD,1.39,1.1,0.29,26.3636,22072300
413,2023-05-14,USD,1.39,1.1,0.29,26.3636,22072300
414,2023-05-13,USD,1.39,1.1,0.29,26.3636,22072300
415,2023-05-12,USD,1.39,1.1,0.29,26.3636,22072300
416,2023-05-11,USD,1.39,1.1,0.29,26.3636,22072300
417,2023-05-10,USD,1.39,1.1,0.29,26.3636,22072300
418,2023-05-09,USD,1.39,1.1,0.29,26.3636,22072300
419,2023-05-08,USD,1.39,1.1,0.29,26.3636,22072300
420,2023-05-07,USD,1.39,1.1,0.29,26.3636,22072300
421,2023-05-06,USD,1.39,1.1,0.29,26.3636,22072300
422,2023-05-05,USD,1.39,1.1,0.29,26.3636,22072300
423,2023-05-04,USD,1.39,1.1,0.29,26.3636,22072300
424,2023-05-03,USD,1.39,1.1,0.29,26.3636,22072300
425,2023-05-02,USD,1.39,1.1,0.29,26.3636,22072300
426,2023-05-01,USD,1.39,1.1,0.29,26.3636,22072300
427,2023-04-30,USD,1.39,1.1,0.29,26.3636,22072300
428,2023-04-29,USD,1.39,1.1,0.29,26.3636,22072300
429,2023-04-28,USD,1.39,1.1,0.29,26.3636,22072300
430,2023-04-27,USD,1.39,1.1,0.29,26.3636,22072300
431,2023-04-26,USD,1.39,1.1,0.29,26.3636,22072300
432,2023-04-25,USD,1.39,1.1,0.29,26.3636,22072300
433,2023-04-24,USD,1.39,1.1,0.29,26.3636,22072300
434,2023-04-23,USD,1.39,1.1,0.29,26.3636,22072300
435,2023-04-22,USD,1.39,1.1,0.29,26.3636,22072300
436,2023-04-21,USD,1.39,1.1,0.29,26.3636,22072300
437,2023-04-20,USD,1.39,1.1,0.29,26.3636,22072300
438,2023-04-19,USD,1.39,1.1,0.29,26.3636,22072300
