date,open,high,low,close,adjusted_close,volume
2023-07-31,41.65,42.12,41.65,41.93,41.93,252100
2023-07-28,41.74,41.99,41.3,41.56,41.56,205900
2023-07-27,41.84,41.98,41.3,41.64,41.64,147000
2023-07-26,41.29,41.67,41.14,41.6,41.6,147900
2023-07-25,40.97,41.6,40.6,41.49,41.49,183300
2023-07-24,40.96,41.42,40.48,41.09,41.09,145600
2023-07-21,41.32,41.32,40.53,40.91,40.91,188700
2023-07-20,41.17,41.29,40.77,40.94,40.94,160400
2023-07-19,42.06,42.23,41.26,41.34,41.34,216000
2023-07-18,42.27,42.4,41.47,42.06,42.06,214700
2023-07-17,41.62,42.35,41.48,42.25,42.25,189500
2023-07-14,41.52,41.69,41.01,41.62,41.62,234800
2023-07-13,40.67,41.8,40.67,41.62,41.62,238200
2023-07-12,39.99,40.74,39.74,40.6,40.6,259100
2023-07-11,39.64,39.65,39.07,39.53,39.53,184200
2023-07-10,38.81,39.6,38.73,39.4,39.4,206400
2023-07-07,38.72,39.19,38.66,38.81,38.81,184400
2023-07-06,38.42,38.73,38.31,38.6,38.6,165000
2023-07-05,39.22,39.22,38.49,38.75,38.75,254300
2023-07-03,39.24,39.58,38.77,39.45,39.45,116600
2023-06-30,39.93,40.02,39.35,39.39,39.39,266000
2023-06-29,39.55,39.98,39.2,39.66,39.66,247400
2023-06-28,38.1,39.3,37.41,39.11,39.11,541600
2023-06-27,37.99,38.51,37.71,38.22,38.22,267000
2023-06-26,38.19,38.99,37.76,37.91,37.91,525900
2023-06-23,38.27,38.92,37.88,38.25,38.25,1558700
2023-06-22,38.89,39.08,38.35,38.71,38.71,293400
2023-06-21,37.66,39.1,37.63,39.06,39.06,468000
2023-06-20,37.87,38.07,37.55,37.89,37.89,174000
2023-06-16,38.55,38.55,37.62,38.0,38.0,523200
2023-06-15,37.9,38.6,37.85,38.14,38.14,401200
2023-06-14,37.88,38.14,37.67,38.01,38.01,360800
2023-06-13,38.16,38.16,37.71,38.02,38.02,198700
2023-06-12,37.54,37.9,37.31,37.75,37.75,127500
2023-06-09,37.41,37.64,37.24,37.43,37.43,142700
2023-06-08,37.19,37.58,37.0,37.31,37.31,157600
2023-06-07,37.0,37.7,36.97,37.31,37.31,351300
2023-06-06,36.16,37.0,36.15,36.93,36.93,237700
2023-06-05,36.26,36.51,35.38,36.4,36.4,265800
2023-06-02,35.98,36.59,35.65,36.53,36.53,280500
2023-06-01,35.72,36.18,35.42,35.67,35.67,268400
2023-05-31,36.02,36.51,35.46,35.95,35.95,791000
2023-05-30,36.13,36.24,35.6,36.09,36.09,177300
2023-05-26,34.7,35.94,34.7,35.75,35.75,160500
2023-05-25,34.65,35.0,34.33,34.76,34.76,175100
2023-05-24,34.52,34.55,33.39,34.43,34.43,239200
2023-05-23,34.41,34.98,34.17,34.63,34.63,218900
2023-05-22,33.97,34.44,33.89,34.43,34.43,181200
2023-05-19,33.76,33.91,33.26,33.87,33.87,235400
2023-05-18,32.37,33.14,32.37,33.11,33.11,236900
2023-05-17,32.49,32.67,32.21,32.47,32.47,276800
2023-05-16,32.15,32.64,32.12,32.28,32.28,237700
2023-05-15,32.11,32.68,31.84,32.44,32.44,148600
2023-05-12,31.98,32.5,31.84,32.1,32.1,155200
2023-05-11,31.41,31.92,31.02,31.9,31.9,203800
2023-05-10,31.84,32.07,31.11,31.4,31.4,171600
2023-05-09,31.23,31.78,30.97,31.54,31.54,353400
2023-05-08,31.43,31.5,31.13,31.25,31.25,301400
2023-05-05,32.86,32.86,31.18,31.49,31.49,326600
2023-05-04,28.87,32.17,28.67,32.11,32.11,786500
2023-05-03,28.87,29.5,28.73,28.93,28.93,356500
2023-05-02,29.1,29.37,28.67,28.94,28.94,353200
2023-05-01,29.9,30.04,28.86,29.13,29.13,409800
2023-04-28,29.89,30.46,29.57,30.16,30.16,213500
2023-04-27,29.85,30.09,29.55,29.99,29.99,243400
2023-04-26,31.35,31.51,29.69,29.71,29.71,352400
2023-04-25,31.77,32.42,31.42,31.48,31.48,309400
2023-04-24,32.37,32.64,32.07,32.09,32.09,216800
2023-04-21,32.46,32.54,32.12,32.47,32.47,157600
