date,open,high,low,close,adjusted_close,volume
2023-07-31,5.02,5.24,4.89,5.03,5.03,9100
2023-07-28,4.95,5.13,4.92,5.07,5.07,10400
2023-07-27,5.3,5.34,4.95,4.95,4.95,28600
2023-07-26,5.25,5.52,5.23,5.42,5.42,7400
2023-07-25,5.23,5.302,5.23,5.23,5.23,19900
2023-07-24,5.55,5.55,5.17,5.32,5.32,28500
2023-07-21,5.45,5.679,5.333,5.53,5.53,10500
2023-07-20,5.23,5.45,5.208,5.42,5.42,20200
2023-07-19,5.25,5.27,5.19,5.26,5.26,12700
2023-07-18,5.28,5.41,5.24,5.31,5.31,8500
2023-07-17,5.22,5.56,5.22,5.31,5.31,16000
2023-07-14,5.5,5.658,5.17,5.2,5.2,39100
2023-07-13,5.41,5.67,5.22,5.49,5.49,32400
2023-07-12,5.34,5.59,5.33,5.44,5.44,18600
2023-07-11,5.47,5.47,5.22,5.22,5.22,17700
2023-07-10,5.5,5.556,5.41,5.41,5.41,4800
2023-07-07,5.26,5.63,5.26,5.52,5.52,21500
2023-07-06,5.4,5.41,5.22,5.29,5.29,40400
2023-07-05,5.63,5.97,5.33,5.44,5.44,43500
2023-07-03,5.99,6.0,5.5,5.59,5.59,48900
2023-06-30,5.99,5.99,5.8,5.94,5.94,28400
2023-06-29,5.96,6.16,5.95,5.99,5.99,41600
2023-06-28,6.19,6.316,5.844,5.85,5.85,39000
2023-06-27,6.0,6.285,5.92,6.09,6.09,55000
2023-06-26,6.07,6.3,5.88,6.0,6.0,44800
2023-06-23,5.74,6.05,5.626,6.04,6.04,65800
2023-06-22,5.96,6.06,5.75,5.75,5.75,23100
2023-06-21,5.86,5.99,5.78,5.95,5.95,35800
2023-06-20,6.15,6.15,5.75,5.91,5.91,64400
2023-06-16,6.21,6.35,5.91,6.19,6.19,75500
2023-06-15,6.48,6.52,6.08,6.14,6.14,44900
2023-06-14,6.07,6.69,5.87,6.38,6.38,164700
2023-06-13,5.25,6.28,5.25,6.11,6.11,133500
2023-06-12,5.39,5.39,5.15,5.28,5.28,43400
2023-06-09,5.57,5.63,5.3,5.45,5.45,54700
2023-06-08,5.71,5.71,5.37,5.5,5.5,82600
2023-06-07,5.61,5.86,5.51,5.76,5.76,72100
2023-06-06,5.52,5.955,5.5,5.61,5.61,137900
2023-06-05,5.12,5.744,5.11,5.6,5.6,128400
2023-06-02,4.88,5.4,4.88,5.11,5.11,75500
2023-06-01,5.06,5.2,4.81,4.92,4.92,99700
2023-05-31,5.3,5.3,5.0,5.095,5.095,115800
2023-05-30,5.48,5.69,5.3,5.3,5.3,80500
2023-05-26,5.48,5.74,5.1,5.47,5.47,125000
2023-05-25,5.2,5.79,5.19,5.395,5.395,132800
2023-05-24,5.81,5.81,5.04,5.08,5.08,185900
2023-05-23,5.0,5.98,5.0,5.73,5.73,276500
2023-05-22,4.93,5.205,4.9,5.05,5.05,177200
2023-05-19,5.05,5.06,4.75,4.95,4.95,204800
2023-05-18,4.41,5.16,4.32,5.04,5.04,334900
2023-05-17,3.97,4.739,3.95,4.49,4.49,1820600
2023-05-16,3.37,3.48,3.27,3.48,3.48,49200
2023-05-15,3.35,3.439,3.31,3.34,3.34,31400
2023-05-12,3.35,3.41,3.35,3.35,3.35,15000
2023-05-11,3.29,3.36,3.29,3.36,3.36,26800
2023-05-10,3.25,3.38,3.25,3.29,3.29,29100
2023-05-09,3.27,3.28,3.215,3.28,3.28,23200
2023-05-08,3.32,3.37,3.255,3.29,3.29,8500
2023-05-05,3.314,3.4,3.27,3.35,3.35,24000
2023-05-04,3.41,3.41,3.3,3.33,3.33,7200
2023-05-03,3.5,3.59,3.31,3.38,3.38,32500
2023-05-02,3.43,3.5,3.42,3.49,3.49,9000
2023-05-01,3.5,3.529,3.44,3.47,3.47,42900
2023-04-28,3.3,3.495,3.3,3.44,3.44,34500
2023-04-27,3.05,3.39,3.05,3.27,3.27,17600
2023-04-26,3.32,3.32,3.05,3.06,3.06,39700
2023-04-25,3.46,3.49,3.3,3.32,3.32,16300
2023-04-24,3.44,3.48,3.39,3.43,3.43,16000
2023-04-21,3.45,3.501,3.44,3.46,3.46,5900
2023-04-20,3.51,3.55,3.47,3.47,3.47,14500
2023-04-19,3.52,3.567,3.36,3.5,3.5,34400
2023-04-18,3.68,3.68,3.5,3.51,3.51,105800
2023-04-17,3.72,3.729,3.65,3.68,3.68,16100
2023-04-14,3.59,3.66,3.53,3.56,3.56,24200
2023-04-13,3.71,3.719,3.6,3.62,3.62,11200
2023-04-12,3.71,3.8,3.6,3.67,3.67,71600
2023-04-11,3.55,3.75,3.55,3.65,3.65,59500
2023-04-10,3.61,3.66,3.55,3.55,3.55,14100
2023-04-06,3.49,3.61,3.48,3.61,3.61,27500
2023-04-05,3.44,3.49,3.4,3.48,3.48,20000
2023-04-04,3.48,3.48,3.41,3.42,3.42,7300
2023-04-03,3.34,3.47,3.34,3.46,3.46,7000
2023-03-31,3.45,3.49,3.42,3.45,3.45,34500
2023-03-30,3.49,3.49,3.3,3.37,3.37,25400
2023-03-29,3.35,3.47,3.316,3.44,3.44,48200
2023-03-28,3.325,3.37,3.27,3.33,3.33,12600
2023-03-27,3.34,3.38,3.29,3.37,3.37,6600
2023-03-24,3.23,3.39,3.2,3.33,3.33,13300
2023-03-23,3.41,3.42,3.25,3.25,3.25,37600
2023-03-22,3.25,3.49,3.25,3.35,3.35,12400
2023-03-21,3.3,3.37,3.22,3.26,3.26,33800
2023-03-20,3.44,3.49,3.25,3.31,3.31,20400
2023-03-17,3.4,3.45,3.35,3.42,3.42,19700
2023-03-16,3.38,3.5,3.3,3.42,3.42,18800
2023-03-15,3.25,3.56,3.25,3.38,3.38,30400
2023-03-14,3.34,3.46,3.25,3.26,3.26,28100
2023-03-13,3.34,3.34,3.25,3.31,3.31,9300
2023-03-10,3.3,3.43,3.3,3.34,3.34,17300
2023-03-09,3.29,3.47,3.26,3.26,3.26,16100
2023-03-08,3.41,3.454,3.26,3.3,3.3,23700
2023-03-07,3.47,3.559,3.41,3.45,3.45,10500
2023-03-06,3.35,3.54,3.32,3.5,3.5,15800
2023-03-03,3.46,3.497,3.307,3.35,3.35,45600
2023-03-02,3.39,3.46,3.27,3.45,3.45,31100
2023-03-01,3.37,3.47,3.33,3.37,3.37,24700
2023-02-28,3.32,3.41,3.31,3.36,3.36,8600
2023-02-27,3.3,3.4,3.28,3.36,3.36,18300
2023-02-24,3.55,3.61,3.22,3.22,3.22,54000
2023-02-23,3.6,3.654,3.45,3.55,3.55,66700
2023-02-22,3.55,3.63,3.42,3.48,3.48,30800
2023-02-21,3.55,3.7,3.5,3.5,3.5,30400
2023-02-17,3.51,3.65,3.5,3.54,3.54,31600
2023-02-16,3.61,3.774,3.56,3.56,3.56,10700
2023-02-15,3.6,3.72,3.52,3.67,3.67,31100
2023-02-14,3.71,3.819,3.5,3.5,3.5,168200
2023-02-13,3.82,3.82,3.64,3.7,3.7,35800
2023-02-10,3.85,3.96,3.76,3.84,3.84,50500
2023-02-09,3.68,3.884,3.68,3.85,3.85,23700
2023-02-08,4.12,4.15,3.58,3.65,3.65,83200
2023-02-07,4.15,4.166,3.93,4.08,4.08,26600
2023-02-06,4.15,4.23,4.14,4.15,4.15,5300
2023-02-03,4.24,4.371,4.15,4.15,4.15,30600
2023-02-02,4.37,4.46,4.2,4.24,4.24,36600
2023-02-01,4.487,4.487,4.25,4.36,4.36,26900
2023-01-31,4.27,4.5,4.2,4.35,4.35,25500
2023-01-30,4.36,4.413,4.19,4.27,4.27,22100
2023-01-27,4.55,4.55,4.37,4.44,4.44,14800
2023-01-26,4.37,4.59,4.36,4.5,4.5,21000
2023-01-25,4.36,4.385,4.3,4.36,4.36,16600
2023-01-24,4.12,4.56,4.1,4.3,4.3,61800
2023-01-23,4.21,4.28,4.046,4.14,4.14,43500
2023-01-20,4.2,4.25,4.0,4.2,4.2,21400
2023-01-19,4.28,4.305,4.04,4.13,4.13,28500
2023-01-18,4.72,4.72,4.23,4.31,4.31,27000
2023-01-17,4.72,4.8,4.4,4.72,4.72,58600
