date,open,high,low,close,adjusted_close,volume
2023-07-31,21.06,21.28,20.88,20.98,20.7293,63400
2023-07-28,20.95,21.435,20.705,21.01,20.7589,62471
2023-07-27,20.89,21.205,20.58,20.85,20.6008,96541
2023-07-26,19.91,20.83,19.9,20.64,20.3933,73496
2023-07-25,20.31,20.41,19.45,19.51,19.2768,108260
2023-07-24,18.83,20.615,18.83,20.33,20.0871,159539
2023-07-21,20.23,20.33,19.61,19.61,19.3757,59901
2023-07-20,20.08,20.32,19.88,20.11,19.8697,66367
2023-07-19,19.21,20.345,19.2,20.19,19.9487,80806
2023-07-18,18.33,19.2599,18.33,19.21,18.9804,107369
2023-07-17,17.88,18.565,17.88,18.28,18.0615,56192
2023-07-14,18.47,18.47,17.78,18.02,17.8047,44215
2023-07-13,18.18,18.53,17.98,18.26,18.0418,64314
2023-07-12,17.93,18.5,17.84,18.02,17.8047,67745
2023-07-11,17.47,17.62,17.16,17.59,17.3798,68839
2023-07-10,17.54,17.91,17.165,17.28,17.0735,52998
2023-07-07,17.42,18.02,17.42,17.59,17.3798,132160
2023-07-06,17.73,17.73,17.01,17.4,17.1921,66093
2023-07-05,17.76,18.09,17.58,17.81,17.5972,48989
2023-07-03,17.82,18.2599,17.79,18.0,17.7849,34548
2023-06-30,18.35,18.386,17.63,17.67,17.4588,80637
2023-06-29,18.3,18.555,18.215,18.33,18.111,57784
2023-06-28,18.53,18.53,17.83,18.02,17.8047,55643
2023-06-27,18.6,18.86,18.241,18.56,18.3382,81591
2023-06-26,19.09,19.21,18.52,18.54,18.3184,77870
2023-06-23,18.56,19.4,18.56,19.04,18.8125,680100
2023-06-22,19.11,19.11,18.5,18.81,18.5852,86500
2023-06-21,19.18,19.59,18.85,19.19,18.9607,68337
2023-06-20,19.23,19.485,18.95,19.2,18.9706,99215
2023-06-16,19.46,19.56,18.875,19.38,19.1484,268059
2023-06-15,18.64,19.39,18.64,19.36,19.1286,94653
2023-06-14,19.58,19.69,18.715,18.82,18.5951,82366
2023-06-13,18.85,19.71,18.85,19.41,19.178,75797
2023-06-12,18.9,19.505,18.3224,18.99,18.7631,109680
