date,open,high,low,close,adjusted_close,volume
2023-07-31,0.96,1.02,0.96,0.99,0.99,460000
2023-07-28,0.88,0.989,0.87,0.98,0.98,262700
2023-07-27,0.94,0.95,0.85,0.866,0.866,472500
2023-07-26,0.99,0.99,0.92,0.928,0.928,234200
2023-07-25,1.05,1.05,0.94,0.947,0.947,637900
2023-07-24,1.06,1.07,1.04,1.04,1.04,317100
2023-07-21,1.08,1.101,1.04,1.08,1.08,533100
2023-07-20,1.15,1.15,1.08,1.09,1.09,277900
2023-07-19,1.05,1.2,1.05,1.15,1.15,693500
2023-07-18,1.16,1.17,1.05,1.07,1.07,1043000
2023-07-17,1.2,1.2,1.15,1.15,1.15,264900
2023-07-14,1.32,1.34,1.15,1.15,1.15,447400
2023-07-13,1.31,1.37,1.25,1.33,1.33,2602800
2023-07-12,1.3,1.35,1.235,1.3,1.3,439400
2023-07-11,1.25,1.3,1.225,1.3,1.3,515100
2023-07-10,1.21,1.27,1.2,1.25,1.25,814600
2023-07-07,1.17,1.21,1.17,1.2,1.2,540400
2023-07-06,1.22,1.235,1.18,1.2,1.2,662500
2023-07-05,1.15,1.27,1.15,1.23,1.23,1788300
2023-07-03,1.18,1.196,1.14,1.15,1.15,623100
2023-06-30,1.15,1.19,1.139,1.15,1.15,977600
2023-06-29,1.16,1.21,1.12,1.14,1.14,987500
2023-06-28,1.09,1.18,1.01,1.18,1.18,1172300
2023-06-27,1.06,1.1,1.03,1.07,1.07,568100
2023-06-26,1.17,1.17,0.966,1.07,1.07,2023400
2023-06-23,1.15,1.22,1.1,1.14,1.14,7650800
2023-06-22,1.08,1.18,1.05,1.15,1.15,1453400
2023-06-21,1.09,1.12,1.0,1.1,1.1,1210300
2023-06-20,1.08,1.15,1.0,1.1,1.1,2369100
2023-06-16,0.92,1.15,0.91,1.07,1.07,5659200
2023-06-15,0.883,0.935,0.86,0.905,0.905,1163800
2023-06-14,0.96,0.96,0.84,0.85,0.85,603800
2023-06-13,0.962,0.979,0.915,0.933,0.933,642600
2023-06-12,0.995,1.01,0.94,0.957,0.957,658200
2023-06-09,1.09,1.1,0.953,0.988,0.988,2890300
2023-06-08,1.01,1.04,1.0,1.01,1.01,421900
2023-06-07,1.04,1.06,1.01,1.01,1.01,489500
2023-06-06,1.1,1.11,1.02,1.06,1.06,628000
2023-06-05,1.04,1.163,1.02,1.1,1.1,1663000
2023-06-02,0.93,1.04,0.92,1.01,1.01,1692700
2023-06-01,0.86,0.898,0.83,0.877,0.877,505700
2023-05-31,0.936,0.963,0.86,0.86,0.86,460800
2023-05-30,1.0,1.03,0.865,0.868,0.868,724100
2023-05-26,1.01,1.02,0.98,1.0,1.0,661100
2023-05-25,1.04,1.06,1.01,1.015,1.015,317200
2023-05-24,1.02,1.085,1.01,1.06,1.06,426600
2023-05-23,1.03,1.14,1.02,1.1,1.1,1644600
2023-05-22,1.03,1.07,1.03,1.06,1.06,634800
2023-05-19,1.04,1.04,1.01,1.03,1.03,361100
2023-05-18,1.03,1.05,1.0,1.0,1.0,300700
2023-05-17,1.06,1.07,1.03,1.06,1.06,352000
2023-05-16,1.05,1.085,1.03,1.05,1.05,463000
2023-05-15,1.06,1.09,1.02,1.08,1.08,757800
2023-05-12,1.07,1.09,0.985,1.04,1.04,473200
2023-05-11,1.09,1.12,1.0,1.07,1.07,3490900
2023-05-10,1.07,1.1,1.05,1.07,1.07,238700
2023-05-09,1.05,1.06,1.03,1.06,1.06,131200
2023-05-08,1.09,1.1,1.05,1.07,1.07,226600
2023-05-05,1.04,1.09,1.04,1.09,1.09,280500
2023-05-04,1.04,1.06,1.01,1.04,1.04,171600
2023-05-03,1.03,1.06,1.03,1.04,1.04,160700
2023-05-02,1.13,1.13,1.01,1.03,1.03,213400
2023-05-01,1.04,1.14,1.01,1.12,1.12,2850100
2023-04-28,1.01,1.06,1.009,1.04,1.04,293400
2023-04-27,1.02,1.03,0.95,1.005,1.005,490800
2023-04-26,1.04,1.05,1.02,1.03,1.03,253400
2023-04-25,1.06,1.07,1.04,1.04,1.04,367900
2023-04-24,1.11,1.11,1.05,1.06,1.06,497500
2023-04-21,1.03,1.1,1.01,1.07,1.07,726300
2023-04-20,1.08,1.1,1.04,1.04,1.04,458300
2023-04-19,1.06,1.1,1.06,1.09,1.09,950100
2023-04-18,1.12,1.12,1.04,1.06,1.06,852600
2023-04-17,1.04,1.09,1.02,1.06,1.06,1713500
2023-04-14,0.953,1.02,0.932,1.0,1.0,687600
2023-04-13,0.888,0.98,0.855,0.958,0.958,460000
2023-04-12,0.954,0.99,0.889,0.895,0.895,451200
2023-04-11,0.86,0.991,0.85,0.938,0.938,881500
2023-04-10,0.856,0.88,0.84,0.865,0.865,567300
2023-04-06,0.87,0.89,0.831,0.87,0.87,470800
2023-04-05,0.804,0.899,0.795,0.886,0.886,683300
2023-04-04,0.851,0.851,0.794,0.831,0.831,719500
2023-04-03,0.83,0.857,0.8,0.851,0.851,1701300
2023-03-31,0.828,0.835,0.79,0.809,0.809,588700
2023-03-30,0.86,0.87,0.793,0.804,0.804,532100
2023-03-29,0.862,0.87,0.83,0.86,0.86,447200
2023-03-28,0.909,0.91,0.843,0.852,0.852,658700
2023-03-27,0.839,0.918,0.795,0.9,0.9,1197600
2023-03-24,0.837,0.88,0.81,0.817,0.817,988100
2023-03-23,1.0,1.0,0.82,0.854,0.854,2126800
2023-03-22,1.06,1.06,0.956,0.96,0.96,1403800
2023-03-21,1.06,1.06,1.025,1.05,1.05,921100
2023-03-20,1.05,1.09,1.02,1.04,1.04,1523600
2023-03-17,1.13,1.15,1.025,1.03,1.03,2286800
2023-03-16,1.14,1.169,1.13,1.14,1.14,992500
2023-03-15,1.09,1.155,1.085,1.14,1.14,1528000
2023-03-14,1.08,1.16,1.06,1.13,1.13,2037800
2023-03-13,1.03,1.12,1.03,1.1,1.1,2938000
2023-03-10,1.0,1.08,0.983,1.06,1.06,2881300
2023-03-09,1.05,1.05,0.981,1.04,1.04,2921600
2023-03-08,1.03,1.05,1.0,1.04,1.04,3060900
2023-03-07,1.07,1.12,1.01,1.02,1.02,3588500
2023-03-06,1.05,1.11,1.0,1.11,1.11,7645600
2023-03-03,1.5,1.58,0.981,0.997,0.997,34484100
2023-03-02,3.0,3.015,2.87,2.92,2.92,271900
2023-03-01,3.02,3.16,3.015,3.03,3.03,297800
2023-02-28,3.35,3.37,2.99,3.065,3.065,631100
2023-02-27,3.39,3.51,3.31,3.39,3.39,389100
2023-02-24,3.49,3.49,3.31,3.34,3.34,252700
2023-02-23,3.4,3.615,3.34,3.43,3.43,327300
2023-02-22,3.37,3.47,3.34,3.37,3.37,537100
2023-02-21,3.36,3.575,3.34,3.37,3.37,352300
2023-02-17,3.7,3.73,3.275,3.46,3.46,1127000
2023-02-16,3.7,3.75,3.51,3.72,3.72,533000
2023-02-15,3.68,3.845,3.66,3.7,3.7,758600
2023-02-14,3.65,3.78,3.56,3.68,3.68,754100
2023-02-13,3.87,3.97,3.58,3.69,3.69,571500
2023-02-10,4.13,4.16,3.72,3.94,3.94,726100
2023-02-09,4.37,4.48,4.145,4.16,4.16,429700
2023-02-08,4.4,4.485,4.285,4.34,4.34,866000
2023-02-07,4.62,4.75,4.19,4.49,4.49,1419600
2023-02-06,4.57,4.695,4.38,4.53,4.53,701100
2023-02-03,5.02,5.02,4.58,4.64,4.64,634800
2023-02-02,4.9,4.99,4.72,4.79,4.79,769400
2023-02-01,4.99,5.12,4.83,4.89,4.89,738600
2023-01-31,4.81,5.12,4.72,4.98,4.98,2686100
2023-01-30,4.74,4.835,4.55,4.8,4.8,1210900
2023-01-27,4.48,4.81,4.48,4.76,4.76,558600
2023-01-26,4.67,4.83,4.46,4.51,4.51,694600
2023-01-25,4.14,4.71,4.07,4.66,4.66,2289500
2023-01-24,4.12,4.24,3.98,4.2,4.2,610500
2023-01-23,4.412,4.51,4.055,4.12,4.12,933800
2023-01-20,4.12,4.555,4.0,4.51,4.51,3264500
2023-01-19,4.18,4.22,3.76,4.05,4.05,972600
2023-01-18,3.92,4.45,3.83,4.25,4.25,1453700
2023-01-17,3.12,4.33,3.105,3.94,3.94,2960400
2023-01-13,3.19,5.25,3.16,3.56,3.56,18512700
2023-01-12,2.81,2.96,2.77,2.96,2.96,287200
2023-01-11,2.89,2.97,2.775,2.85,2.85,292500
2023-01-10,2.37,2.9,2.37,2.89,2.89,481800
2023-01-09,2.56,2.61,2.39,2.4,2.4,263000
2023-01-06,2.6,2.625,2.26,2.52,2.52,417400
2023-01-05,2.65,2.74,2.445,2.62,2.62,1009600
2023-01-04,2.51,2.71,2.5,2.61,2.61,978100
2023-01-03,2.28,2.61,2.27,2.57,2.57,679800
2022-12-30,2.41,2.49,2.335,2.38,2.38,227500
2022-12-29,2.32,2.43,2.25,2.42,2.42,417900
2022-12-28,2.24,2.37,2.22,2.26,2.26,215700
2022-12-27,2.39,2.54,2.28,2.28,2.28,238800
2022-12-23,2.31,2.49,2.26,2.42,2.42,641800
2022-12-22,2.06,2.33,2.01,2.31,2.31,505300
2022-12-21,2.07,2.125,2.043,2.06,2.06,266100
2022-12-20,2.11,2.15,2.04,2.07,2.07,325500
2022-12-19,2.28,2.39,2.06,2.11,2.11,337600
2022-12-16,2.42,2.5,2.245,2.28,2.28,1086400
2022-12-15,2.44,2.505,2.348,2.45,2.45,424100
2022-12-14,2.28,2.58,2.185,2.49,2.49,1492700
2022-12-13,2.14,2.24,2.03,2.2,2.2,607600
2022-12-12,2.08,2.23,2.03,2.1,2.1,453200
2022-12-09,2.09,2.15,2.03,2.08,2.08,307000
2022-12-08,2.04,2.085,2.0,2.06,2.06,208300
2022-12-07,2.09,2.09,2.01,2.06,2.06,152900
2022-12-06,2.15,2.15,2.03,2.07,2.07,257200
2022-12-05,2.21,2.21,2.09,2.14,2.14,359500
2022-12-02,2.15,2.235,2.06,2.19,2.19,276900
2022-12-01,2.23,2.23,2.095,2.18,2.18,258800
2022-11-30,2.18,2.33,2.04,2.21,2.21,976800
2022-11-29,1.91,2.205,1.89,2.14,2.14,316800
2022-11-28,1.86,2.09,1.86,1.96,1.96,343800
2022-11-25,1.92,2.01,1.859,1.93,1.93,116400
2022-11-23,1.96,2.05,1.905,1.95,1.95,218200
2022-11-22,1.86,2.005,1.83,1.99,1.99,256700
2022-11-21,2.0,2.0,1.87,1.88,1.88,230300
2022-11-18,2.11,2.11,1.99,2.0,2.0,220100
2022-11-17,2.16,2.19,2.04,2.06,2.06,267900
2022-11-16,2.18,2.285,2.04,2.11,2.11,223700
2022-11-15,2.23,2.235,2.07,2.14,2.14,178300
2022-11-14,2.11,2.25,2.04,2.13,2.13,214900
2022-11-11,2.12,2.2,2.05,2.11,2.11,344800
2022-11-10,2.52,2.52,2.03,2.1,2.1,416000
2022-11-09,2.5,2.59,2.2,2.23,2.23,687300
2022-11-08,2.14,2.42,2.11,2.4,2.4,511300
2022-11-07,2.06,2.13,2.03,2.11,2.11,488200
2022-11-04,2.16,2.16,1.963,2.09,2.09,876700
2022-11-03,2.0,2.12,1.853,2.1,2.1,1059100
2022-11-02,2.07,2.12,1.975,2.0,2.0,868900
2022-11-01,1.97,2.04,1.95,2.03,2.03,404800
2022-10-31,1.96,2.025,1.89,1.97,1.97,299300
2022-10-28,1.92,2.02,1.88,1.98,1.98,417300
2022-10-27,1.79,2.01,1.77,1.93,1.93,961100
2022-10-26,1.67,1.795,1.67,1.78,1.78,228700
2022-10-25,1.62,1.74,1.61,1.67,1.67,373000
2022-10-24,1.59,1.59,1.48,1.56,1.56,316200
2022-10-21,1.71,1.71,1.6,1.6,1.6,1142600
2022-10-20,1.66,1.79,1.66,1.67,1.67,401500
2022-10-19,1.7,1.74,1.66,1.68,1.68,365600
2022-10-18,1.72,1.81,1.7,1.73,1.73,427500
2022-10-17,1.69,1.75,1.625,1.71,1.71,585600
2022-10-14,2.0,2.02,1.66,1.67,1.67,571100
2022-10-13,2.01,2.062,1.95,1.99,1.99,618100
2022-10-12,2.06,2.12,2.005,2.08,2.08,309000
2022-10-11,2.15,2.16,2.0,2.04,2.04,356500
2022-10-10,2.21,2.21,2.13,2.13,2.13,222300
2022-10-07,2.23,2.24,2.11,2.2,2.2,427200
2022-10-06,2.27,2.338,2.21,2.28,2.28,233200
2022-10-05,2.4,2.43,2.28,2.29,2.29,209000
2022-10-04,2.4,2.485,2.35,2.43,2.43,392300
2022-10-03,2.32,2.41,2.23,2.31,2.31,360100
2022-09-30,2.41,2.49,2.245,2.27,2.27,419800
2022-09-29,2.5,2.53,2.315,2.36,2.36,342100
2022-09-28,2.46,2.59,2.46,2.53,2.53,345800
2022-09-27,2.51,2.63,2.44,2.46,2.46,290400
2022-09-26,2.46,2.58,2.46,2.48,2.48,417100
2022-09-23,2.55,2.575,2.47,2.5,2.5,355400
2022-09-22,2.79,2.79,2.56,2.58,2.58,472800
2022-09-21,2.77,3.0,2.744,2.83,2.83,971200
2022-09-20,2.63,2.935,2.63,2.84,2.84,851500
2022-09-19,2.62,2.72,2.38,2.63,2.63,890300
2022-09-16,2.88,2.89,2.64,2.65,2.65,7308400
2022-09-15,2.74,2.96,2.73,2.86,2.86,1429800
2022-09-14,2.69,2.825,2.45,2.79,2.79,2955800
2022-09-13,2.92,3.0,2.68,2.71,2.71,1338800
2022-09-12,3.45,3.45,2.945,3.01,3.01,1974300
2022-09-09,3.38,3.52,3.313,3.41,3.41,590100
2022-09-08,3.11,3.44,3.08,3.38,3.38,594900
2022-09-07,2.88,3.205,2.82,3.17,3.17,862300
2022-09-06,3.04,3.135,2.86,2.9,2.9,953600
2022-09-02,3.3,3.3,3.03,3.05,3.05,564900
2022-09-01,3.1,3.27,2.995,3.25,3.25,552000
2022-08-31,3.31,3.31,3.09,3.12,3.12,607900
2022-08-30,3.85,3.89,3.22,3.25,3.25,622000
2022-08-29,3.95,4.16,3.83,3.85,3.85,484800
2022-08-26,4.34,4.397,4.0,4.05,4.05,1015100
2022-08-25,4.35,4.37,4.19,4.34,4.34,405200
2022-08-24,4.07,4.388,3.99,4.29,4.29,515600
2022-08-23,3.8,4.07,3.79,4.02,4.02,766500
2022-08-22,3.66,3.845,3.66,3.76,3.76,447300
2022-08-19,3.75,3.96,3.71,3.73,3.73,399400
2022-08-18,4.15,4.17,3.68,3.79,3.79,595100
2022-08-17,4.19,4.365,4.12,4.2,4.2,410800
2022-08-16,4.66,4.66,4.182,4.27,4.27,473200
2022-08-15,4.29,4.72,4.14,4.66,4.66,556600
2022-08-12,4.25,4.42,4.24,4.37,4.37,552900
2022-08-11,4.71,4.89,4.13,4.24,4.24,725800
2022-08-10,4.17,4.84,4.113,4.77,4.77,723400
2022-08-09,3.91,4.03,3.591,4.01,4.01,767400
2022-08-08,3.34,3.94,3.33,3.93,3.93,1065600
2022-08-05,3.28,3.38,3.159,3.28,3.28,979200
2022-08-04,3.27,3.38,3.17,3.31,3.31,700800
2022-08-03,3.05,3.4,3.03,3.22,3.22,670400
2022-08-02,3.19,3.31,2.95,3.09,3.09,1118000
2022-08-01,3.47,3.53,3.21,3.23,3.23,456800
2022-07-29,3.49,3.588,3.41,3.53,3.53,608700
2022-07-28,3.5,3.61,3.315,3.54,3.54,502200
2022-07-27,3.37,3.54,3.3,3.52,3.52,526600
2022-07-26,3.18,3.565,3.07,3.33,3.33,565100
2022-07-25,3.22,3.26,3.07,3.18,3.18,472300
2022-07-22,3.53,3.565,3.17,3.21,3.21,503500
2022-07-21,3.61,3.63,3.505,3.53,3.53,494000
2022-07-20,3.43,3.779,3.42,3.57,3.57,669000
2022-07-19,3.33,3.55,3.31,3.48,3.48,850300
2022-07-18,3.452,3.67,3.32,3.35,3.35,1065600
2022-07-15,3.56,3.59,3.24,3.58,3.58,889500
2022-07-14,3.53,3.58,3.19,3.38,3.38,781400
2022-07-13,3.3,3.64,3.272,3.55,3.55,1069500
2022-07-12,3.29,3.405,3.12,3.35,3.35,1003900
2022-07-11,3.25,3.36,3.05,3.24,3.24,1680500
2022-07-08,2.78,3.3,2.69,3.27,3.27,1823000
2022-07-07,2.67,2.8,2.64,2.8,2.8,1215600
2022-07-06,2.59,2.8,2.565,2.63,2.63,1055900
2022-07-05,2.45,2.615,2.42,2.6,2.6,1090300
2022-07-01,2.47,2.51,2.38,2.51,2.51,840400
2022-06-30,2.43,2.525,2.35,2.45,2.45,1060000
2022-06-29,2.4,2.53,2.36,2.51,2.51,1143300
2022-06-28,2.5,2.61,2.31,2.39,2.39,1843100
2022-06-27,2.29,2.52,2.232,2.48,2.48,1533900
2022-06-24,2.34,2.35,2.13,2.34,2.34,2875100
2022-06-23,2.102,2.34,2.08,2.34,2.34,1751000
2022-06-22,2.04,2.19,1.98,2.12,2.12,2154400
2022-06-21,2.07,2.16,2.04,2.07,2.07,2017400
2022-06-17,1.95,2.13,1.91,2.08,2.08,6877000
2022-06-16,1.89,1.99,1.84,1.94,1.94,2114100
2022-06-15,1.89,2.02,1.88,1.93,1.93,2549500
2022-06-14,1.84,1.95,1.76,1.91,1.91,2266900
2022-06-13,1.65,1.85,1.63,1.82,1.82,2652400
2022-06-10,1.75,1.84,1.67,1.78,1.78,2690100
2022-06-09,1.82,1.823,1.71,1.75,1.75,3195200
2022-06-08,1.81,1.91,1.77,1.8,1.8,4599500
2022-06-07,1.79,1.92,1.7,1.84,1.84,8187400
2022-06-06,3.16,3.53,1.82,1.88,1.88,35050000
2022-06-03,7.77,8.75,7.76,8.59,8.59,499600
2022-06-02,8.01,8.43,7.75,8.25,8.25,234500
2022-06-01,8.42,8.605,7.97,8.08,8.08,555100
2022-05-31,8.47,9.01,8.26,8.3,8.3,568200
2022-05-27,8.42,8.5,8.06,8.41,8.41,425500
2022-05-26,8.8,9.2,8.28,8.38,8.38,307600
2022-05-25,9.08,9.31,8.78,8.84,8.84,228100
2022-05-24,9.7,9.7,8.9,9.07,9.07,247800
2022-05-23,10.88,10.88,9.77,9.82,9.82,182000
2022-05-20,10.49,10.75,9.98,10.71,10.71,298900
2022-05-19,10.1,10.9,10.065,10.26,10.26,319500
2022-05-18,10.53,10.84,9.86,10.11,10.11,318300
2022-05-17,11.08,11.655,10.66,10.95,10.95,551800
2022-05-16,10.33,13.33,10.26,10.92,10.92,1656700
2022-05-13,9.35,10.595,9.01,10.35,10.35,624100
2022-05-12,8.6,9.09,8.34,9.07,9.07,397100
2022-05-11,9.18,9.585,8.75,8.75,8.75,670200
2022-05-10,8.18,9.73,7.31,9.21,9.21,909900
2022-05-09,7.82,8.098,7.25,7.39,7.39,258400
2022-05-06,8.04,8.17,7.6,8.08,8.08,274200
2022-05-05,8.56,8.72,7.99,8.13,8.13,210200
2022-05-04,8.43,8.79,7.95,8.74,8.74,139300
2022-05-03,8.76,9.12,8.1,8.4,8.4,205700
2022-05-02,8.18,9.02,8.1,8.8,8.8,472300
2022-04-29,8.2,8.39,7.48,8.1,8.1,489600
2022-04-28,8.42,8.89,8.07,8.59,8.59,964300
2022-04-27,8.12,8.815,7.79,8.32,8.32,369100
2022-04-26,8.72,8.9,7.93,8.18,8.18,381000
2022-04-25,8.66,8.9,8.45,8.81,8.81,263600
2022-04-22,8.17,8.74,7.98,8.7,8.7,356800
2022-04-21,8.36,8.47,8.06,8.22,8.22,357600
2022-04-20,8.5,8.54,7.9,8.3,8.3,219400
2022-04-19,8.38,8.72,8.04,8.28,8.28,176500
2022-04-18,8.66,8.81,8.16,8.44,8.44,246500
2022-04-14,9.68,9.68,8.37,8.64,8.64,314200
2022-04-13,9.34,9.71,9.21,9.68,9.68,197200
2022-04-12,9.74,9.93,9.16,9.31,9.31,124100
2022-04-11,10.13,10.47,9.355,9.57,9.57,163100
2022-04-08,10.89,10.89,10.19,10.28,10.28,149000
2022-04-07,11.23,11.26,10.88,10.97,10.97,134400
2022-04-06,10.8,11.61,10.43,11.34,11.34,242100
2022-04-05,10.82,11.25,10.6,10.93,10.93,222800
2022-04-04,10.75,10.915,10.21,10.74,10.74,199100
2022-04-01,10.35,10.92,10.2,10.7,10.7,380000
2022-03-31,10.23,10.54,10.14,10.21,10.21,151800
2022-03-30,11.03,11.09,10.18,10.28,10.28,184800
2022-03-29,11.02,11.62,10.8,11.09,11.09,450500
2022-03-28,11.1,11.27,10.46,10.93,10.93,83400
2022-03-25,11.51,11.51,10.85,11.09,11.09,113000
2022-03-24,11.46,11.62,10.88,11.57,11.57,86800
2022-03-23,11.73,11.805,11.2,11.21,11.21,142800
2022-03-22,10.94,11.93,10.89,11.87,11.87,223800
2022-03-21,11.61,11.88,10.89,10.94,10.94,182600
2022-03-18,11.27,11.86,11.0,11.8,11.8,491500
2022-03-17,10.47,11.745,10.47,11.11,11.11,694600
2022-03-16,10.93,10.93,10.055,10.67,10.67,226900
2022-03-15,11.03,11.03,10.372,10.55,10.55,180500
2022-03-14,12.44,12.645,10.71,10.91,10.91,268900
2022-03-11,13.19,13.65,12.34,12.38,12.38,132300
2022-03-10,13.5,13.5,13.04,13.34,13.34,115000
2022-03-09,13.69,13.865,13.04,13.76,13.76,193100
2022-03-08,13.44,13.75,12.72,13.24,13.24,125400
2022-03-07,12.83,13.76,12.725,13.42,13.42,227600
2022-03-04,12.67,13.04,12.67,12.77,12.77,212500
2022-03-03,13.29,13.46,12.59,12.84,12.84,241700
2022-03-02,13.17,13.53,12.91,13.05,13.05,214700
2022-03-01,12.93,13.605,12.805,13.08,13.08,164200
2022-02-28,13.03,13.718,12.76,13.1,13.1,285600
2022-02-25,13.88,14.0,12.95,13.33,13.33,151700
2022-02-24,12.23,13.74,12.23,13.74,13.74,163200
2022-02-23,13.23,13.23,12.461,12.88,12.88,293900
2022-02-22,12.7,13.47,12.7,12.99,12.99,197700
2022-02-18,12.45,13.14,12.4,12.73,12.73,135000
