date,open,high,low,close,adjusted_close,volume
2023-07-31,18.7,19.07,18.7,18.98,18.98,587700
2023-07-28,18.92,19.0,18.67,18.7,18.7,345400
2023-07-27,19.08,19.2,18.66,18.77,18.77,842000
2023-07-26,18.68,19.005,18.66,19.0,19.0,491600
2023-07-25,18.96,19.13,18.67,18.68,18.68,557700
2023-07-24,18.99,19.34,18.83,19.13,19.13,657100
2023-07-21,18.93,19.14,18.77,19.05,19.05,574400
2023-07-20,18.98,19.17,18.83,18.89,18.89,482200
2023-07-19,19.06,19.4,18.82,18.95,18.95,712600
2023-07-18,18.84,19.08,18.71,18.95,18.95,669500
2023-07-17,18.77,18.96,18.5,18.8,18.8,421600
2023-07-14,18.74,19.015,18.4,18.75,18.75,1149700
2023-07-13,18.54,18.78,18.311,18.74,18.74,446700
2023-07-12,18.55,18.66,18.29,18.51,18.51,1030100
2023-07-11,18.02,18.41,17.975,18.37,18.37,637800
2023-07-10,17.95,18.245,17.935,18.02,18.02,752700
2023-07-07,18.07,18.23,17.91,17.96,17.96,634000
2023-07-06,18.12,18.18,17.84,18.06,18.06,1813300
2023-07-05,18.14,18.54,17.83,18.29,18.29,901500
2023-07-03,19.05,19.23,18.13,18.26,18.26,695500
2023-06-30,19.13,19.23,18.53,18.84,18.84,1211400
2023-06-29,18.75,19.04,18.73,18.98,18.98,967900
2023-06-28,18.77,18.865,17.96,18.79,18.79,1272500
2023-06-27,18.42,18.92,18.15,18.78,18.78,1511400
2023-06-26,18.893,19.3,18.05,18.42,18.42,2146000
2023-06-23,17.33,18.11,17.24,17.99,17.99,2547100
2023-06-22,15.0,18.55,14.94,17.6,17.6,7439800
2023-06-21,14.94,15.12,14.755,15.0,15.0,797100
2023-06-20,14.9,15.005,14.67,14.98,14.98,625900
2023-06-16,15.15,15.19,14.9,15.02,15.02,981100
2023-06-15,14.59,15.06,14.49,15.04,15.04,503600
2023-06-14,15.16,15.4,14.55,14.69,14.69,763400
2023-06-13,14.91,15.24,14.645,15.14,15.14,602300
2023-06-12,14.69,14.92,14.57,14.84,14.84,551500
2023-06-09,14.73,14.88,14.5,14.61,14.61,411100
2023-06-08,15.26,15.32,14.621,14.69,14.69,788000
2023-06-07,15.03,15.28,14.97,15.25,15.25,587400
2023-06-06,14.66,15.01,14.66,14.97,14.97,384500
2023-06-05,14.66,14.8,14.48,14.67,14.67,597500
2023-06-02,14.4,14.84,14.4,14.77,14.77,656300
2023-06-01,14.07,14.295,13.98,14.19,14.19,800800
2023-05-31,14.05,14.2,13.935,14.09,14.09,1141200
2023-05-30,14.32,14.36,13.98,14.04,14.04,783400
2023-05-26,14.17,14.35,14.12,14.32,14.32,621900
2023-05-25,14.29,14.963,13.87,14.12,14.12,1128400
2023-05-24,14.45,14.59,14.26,14.3,14.3,989800
2023-05-23,14.55,15.03,14.505,14.57,14.57,1207000
2023-05-22,14.72,15.02,14.59,14.6,14.6,1964800
2023-05-19,15.2,15.2,14.48,14.64,14.64,1284100
2023-05-18,15.28,15.37,14.64,15.05,15.05,1321800
2023-05-17,15.06,15.835,15.06,15.33,15.33,2067800
2023-05-16,15.16,15.16,14.89,15.05,15.05,834000
2023-05-15,14.7,15.385,14.6,15.27,15.27,768900
2023-05-12,14.8,14.93,14.41,14.68,14.68,661900
2023-05-11,14.59,14.82,14.54,14.77,14.77,658900
2023-05-10,14.83,14.94,14.55,14.66,14.66,461600
2023-05-09,14.87,14.89,14.69,14.71,14.71,663000
2023-05-08,14.96,15.245,14.794,14.98,14.98,506600
2023-05-05,15.28,15.3,14.71,15.02,15.02,875200
2023-05-04,15.29,15.29,14.73,15.05,15.05,1711500
2023-05-03,15.92,16.255,14.95,15.44,15.44,2238700
2023-05-02,16.4,16.68,16.19,16.27,16.27,1293800
2023-05-01,16.82,16.87,15.715,16.41,16.41,1614800
2023-04-28,16.42,16.93,16.15,16.77,16.77,838500
2023-04-27,16.33,16.82,16.33,16.55,16.55,1071400
2023-04-26,16.45,16.73,16.3,16.33,16.33,700700
2023-04-25,16.53,16.64,16.24,16.42,16.42,995000
2023-04-24,16.87,16.93,16.49,16.7,16.7,407700
2023-04-21,16.89,17.01,16.46,16.81,16.81,622500
2023-04-20,16.66,16.96,16.39,16.81,16.81,757600
2023-04-19,16.38,16.915,16.36,16.89,16.89,733900
2023-04-18,16.79,16.79,16.245,16.5,16.5,853400
2023-04-17,16.8,16.84,16.6,16.73,16.73,459800
2023-04-14,17.12,17.12,16.43,16.73,16.73,946100
2023-04-13,16.98,17.285,16.855,17.18,17.18,778300
2023-04-12,17.61,17.69,16.8,16.82,16.82,890700
2023-04-11,17.39,17.54,17.2,17.37,17.37,671800
2023-04-10,16.93,17.4,16.777,17.33,17.33,1062500
2023-04-06,16.98,17.155,16.782,17.05,17.05,736000
2023-04-05,16.96,17.1,16.67,17.03,17.03,1708200
2023-04-04,17.44,17.57,17.06,17.1,17.1,858000
2023-04-03,17.8,17.845,17.355,17.45,17.45,663300
2023-03-31,17.64,17.96,17.45,17.91,17.91,696800
2023-03-30,17.46,17.73,17.36,17.52,17.52,674600
2023-03-29,17.49,17.65,17.125,17.28,17.28,655000
2023-03-28,17.46,17.64,17.11,17.22,17.22,854800
2023-03-27,17.47,17.88,17.41,17.54,17.54,1237500
2023-03-24,17.26,17.44,16.93,17.32,17.32,1026600
2023-03-23,17.85,18.04,17.24,17.41,17.41,778100
2023-03-22,17.99,18.61,17.72,17.73,17.73,971800
2023-03-21,18.36,18.43,17.925,17.96,17.96,852900
2023-03-20,18.24,18.48,17.92,18.15,18.15,1227500
2023-03-17,18.12,18.16,17.76,18.1,18.1,1525500
2023-03-16,17.55,18.23,17.32,18.21,18.21,713500
2023-03-15,17.1,17.74,16.83,17.72,17.72,1151100
2023-03-14,17.49,17.64,17.06,17.51,17.51,975700
2023-03-13,16.37,17.12,16.24,16.98,16.98,1067800
2023-03-10,16.69,16.8,16.13,16.44,16.44,1724900
2023-03-09,17.52,17.52,16.72,16.74,16.74,987300
2023-03-08,17.28,17.65,17.28,17.45,17.45,1871900
2023-03-07,17.58,17.89,17.13,17.37,17.37,1159900
2023-03-06,17.91,18.08,17.47,17.59,17.59,1014300
2023-03-03,17.48,17.92,17.18,17.84,17.84,948400
2023-03-02,16.93,17.44,16.85,17.41,17.41,877700
2023-03-01,16.64,17.11,16.485,17.08,17.08,1020000
2023-02-28,17.5,18.03,16.257,16.69,16.69,1915300
2023-02-27,17.61,17.76,17.17,17.17,17.17,1116900
2023-02-24,17.47,17.47,17.02,17.28,17.28,1371900
2023-02-23,17.57,18.11,17.445,17.91,17.91,1254800
2023-02-22,17.58,17.91,17.38,17.49,17.49,2767700
2023-02-21,17.64,17.93,17.36,17.57,17.57,1316400
2023-02-17,16.91,18.27,16.26,18.0,18.0,2047700
2023-02-16,16.995,17.71,16.84,17.27,17.27,1091400
2023-02-15,16.91,17.3,16.827,17.26,17.26,556400
2023-02-14,16.82,17.29,16.55,16.99,16.99,685800
2023-02-13,16.89,16.984,16.15,16.92,16.92,983000
2023-02-10,16.95,17.07,16.715,16.75,16.75,934400
2023-02-09,18.02,18.03,17.095,17.16,17.16,1411700
2023-02-08,17.9,18.26,17.81,17.85,17.85,1047600
2023-02-07,17.72,18.3,17.47,18.05,18.05,1052900
2023-02-06,17.805,18.33,17.53,17.8,17.8,1469000
2023-02-03,18.26,18.5,17.785,18.15,18.15,1247700
2023-02-02,18.66,19.02,18.54,18.68,18.68,1944400
2023-02-01,17.34,18.55,17.1,18.26,18.26,1782900
2023-01-31,16.92,17.53,16.9,17.24,17.24,1268700
2023-01-30,16.64,17.025,16.345,16.82,16.82,1267700
2023-01-27,16.58,17.225,16.58,17.09,17.09,1130700
2023-01-26,16.94,17.16,16.39,16.67,16.67,1298200
2023-01-25,16.55,17.17,16.55,16.8,16.8,971500
2023-01-24,17.08,17.535,16.765,16.82,16.82,1290900
2023-01-23,17.28,17.605,17.01,17.3,17.3,3524900
2023-01-20,16.75,17.34,16.54,16.92,16.92,1734500
2023-01-19,16.56,16.885,15.91,16.82,16.82,2377200
2023-01-18,17.5,17.71,16.565,16.64,16.64,2409400
2023-01-17,18.2,18.2,17.28,17.43,17.43,1552400
2023-01-13,18.08,18.35,17.42,18.23,18.23,3380900
2023-01-12,17.7,18.6,17.32,18.28,18.28,4322000
2023-01-11,17.77,18.67,17.06,17.64,17.64,7002000
2023-01-10,15.1,17.79,14.46,17.25,17.25,49454100
2023-01-09,8.61,8.88,8.49,8.64,8.64,1094000
2023-01-06,8.45,8.59,8.03,8.46,8.46,746400
2023-01-05,8.29,8.55,8.02,8.43,8.43,2098900
2023-01-04,8.49,8.61,8.39,8.45,8.45,960800
2023-01-03,8.44,8.63,8.23,8.33,8.33,881600
2022-12-30,8.15,8.35,8.03,8.33,8.33,916500
2022-12-29,7.9,8.295,7.9,8.27,8.27,890300
2022-12-28,8.05,8.14,7.79,7.79,7.79,737900
2022-12-27,7.96,8.09,7.72,8.02,8.02,588300
2022-12-23,8.03,8.065,7.87,7.93,7.93,478100
2022-12-22,8.08,8.16,7.84,8.07,8.07,833800
2022-12-21,7.82,8.215,7.79,8.19,8.19,1236200
2022-12-20,8.25,8.31,7.66,7.71,7.71,3142300
2022-12-19,8.46,8.58,8.27,8.32,8.32,851700
2022-12-16,8.49,8.595,8.395,8.5,8.5,2282300
2022-12-15,8.74,8.74,8.47,8.59,8.59,1265000
2022-12-14,9.12,9.2,8.86,8.94,8.94,1298000
2022-12-13,9.16,9.316,8.81,9.17,9.17,1417400
2022-12-12,8.54,8.71,8.33,8.71,8.71,1042500
2022-12-09,8.52,8.89,8.45,8.49,8.49,1897500
2022-12-08,8.38,8.72,8.25,8.56,8.56,1125800
2022-12-07,8.32,8.5,8.235,8.33,8.33,1002100
2022-12-06,8.89,8.9,8.24,8.44,8.44,1662700
2022-12-05,8.79,9.28,8.65,8.94,8.94,1788600
2022-12-02,8.65,8.92,8.41,8.87,8.87,1862600
2022-12-01,8.42,8.94,8.21,8.79,8.79,1669900
2022-11-30,8.0,8.36,7.945,8.34,8.34,1386300
2022-11-29,8.1,8.243,7.895,7.97,7.97,1228800
2022-11-28,8.1,8.25,8.05,8.15,8.15,1993600
2022-11-25,8.22,8.37,8.05,8.15,8.15,554800
2022-11-23,7.97,8.335,7.91,8.25,8.25,2186100
2022-11-22,7.96,8.27,7.77,7.98,7.98,4188500
2022-11-21,7.68,9.6,7.65,8.0,8.0,32020000
2022-11-18,6.03,6.075,5.935,6.02,6.02,1795500
2022-11-17,6.16,6.16,5.845,5.95,5.95,1612500
2022-11-16,6.75,6.79,6.13,6.28,6.28,1439600
2022-11-15,6.53,7.25,6.44,6.97,6.97,1610600
2022-11-14,7.26,7.31,6.89,6.9,6.9,1355900
2022-11-11,7.01,7.385,6.97,7.33,7.33,1684100
2022-11-10,6.48,6.985,6.405,6.97,6.97,2303000
2022-11-09,6.1,6.105,5.78,6.06,6.06,2100200
2022-11-08,6.38,6.515,6.17,6.19,6.19,1624800
2022-11-07,6.3,6.44,6.13,6.37,6.37,1190800
2022-11-04,6.27,6.305,5.88,6.26,6.26,1972900
2022-11-03,6.15,6.4,6.07,6.17,6.17,1656700
2022-11-02,6.5,7.1,6.27,6.3,6.3,2423200
2022-11-01,7.07,7.21,6.77,6.9,6.9,1332000
2022-10-31,6.84,6.99,6.77,6.88,6.88,1111800
2022-10-28,6.65,6.99,6.57,6.92,6.92,1664600
2022-10-27,7.01,7.03,6.66,6.68,6.68,1181100
2022-10-26,7.08,7.42,7.0,7.03,7.03,1692300
2022-10-25,6.41,7.09,6.4,7.09,7.09,2080100
2022-10-24,6.67,6.67,6.35,6.4,6.4,1542100
2022-10-21,6.63,6.68,6.415,6.59,6.59,1435800
2022-10-20,6.62,6.955,6.57,6.66,6.66,1786000
2022-10-19,7.07,7.24,6.58,6.62,6.62,1950900
