date,open,high,low,close,adjusted_close,volume
2023-07-31,36.7,36.9,35.62,35.62,35.62,8700
2023-07-28,36.2,36.7,35.92,36.46,36.46,19700
2023-07-27,35.79,36.04,35.43,35.84,35.59,20700
2023-07-26,35.05,35.63,35.05,35.6,35.3517,15100
2023-07-25,34.55,35.45,34.18,34.55,34.309,16700
2023-07-24,34.17,35.13,34.15,35.0,34.7559,30600
2023-07-21,35.34,35.34,34.17,34.17,33.9316,16938
2023-07-20,36.11,36.11,34.81,35.28,35.0339,23253
2023-07-19,35.41,36.5699,35.41,36.06,35.8085,26468
2023-07-18,34.12,35.6,34.0,35.54,35.2921,18896
2023-07-17,34.69,35.3772,33.7037,34.2,33.9614,18814
2023-07-14,34.97,34.97,34.0,34.45,34.2097,10524
2023-07-13,34.02,34.8,34.02,34.8,34.5573,4984
2023-07-12,34.01,35.1,34.01,34.1,33.8621,13981
2023-07-11,33.33,33.75,33.33,33.75,33.5146,9378
2023-07-10,33.49,33.825,33.49,33.68,33.4451,7258
2023-07-07,33.15,33.2801,33.0001,33.2,32.9684,28151
2023-07-06,32.71,33.27,32.42,32.7,32.4719,28470
2023-07-05,32.89,33.315,32.89,32.92,32.6904,9032
2023-07-03,33.06,33.17,32.91,32.92,32.6904,5247
2023-06-30,33.9,33.9,33.0,33.21,32.9783,8478
2023-06-29,33.48,33.9,33.48,33.9,33.6635,6672
2023-06-28,33.06,33.765,33.02,33.26,33.028,8002
2023-06-27,33.29,33.29,33.055,33.26,33.028,3853
2023-06-26,33.83,34.175,33.51,33.51,33.2763,10413
2023-06-23,32.6,34.2,32.6,34.07,33.8323,77151
2023-06-22,33.01,33.22,32.7,32.9,32.6705,15529
2023-06-21,33.48,33.75,33.22,33.22,32.9883,6303
2023-06-20,33.81,33.81,33.06,33.7,33.4649,12161
2023-06-16,35.75,35.75,33.19,33.49,33.2564,29249
2023-06-15,33.82,35.67,33.82,35.56,35.312,27743
2023-06-14,34.96,34.96,34.3,34.3,34.0607,6871
2023-06-13,34.45,35.11,34.4,34.66,34.4182,14464
2023-06-12,34.85,34.85,34.12,34.42,34.1799,6942
2023-06-09,34.83,35.1,34.55,34.66,34.4182,12095
2023-06-08,34.51,35.47,34.51,35.47,35.2226,11492
2023-06-07,34.0,35.53,34.0,35.29,35.0438,24914
2023-06-06,31.98,34.0,31.98,33.7,33.4649,16475
2023-06-05,32.64,32.8,32.06,32.28,32.0548,17640
2023-06-02,31.7,32.9092,31.3,32.73,32.5017,24928
2023-06-01,31.0,31.725,30.815,31.15,30.9327,8294
2023-05-31,31.4564,31.4564,30.79,30.79,30.5752,12061
2023-05-30,31.87,32.48,31.51,31.51,31.2902,16390
2023-05-26,31.12,32.06,31.12,31.91,31.6874,10007
2023-05-25,31.04,31.47,30.97,31.3,31.0817,14692
2023-05-24,32.07,32.7699,31.0,31.05,30.8334,20532
2023-05-23,31.73,32.671,31.73,32.18,31.9555,16560
2023-05-22,31.65,32.6799,31.41,31.43,31.2108,17345
2023-05-19,32.34,32.34,31.55,31.55,31.3299,11850
2023-05-18,31.55,32.45,31.155,31.98,31.7569,16121
2023-05-17,30.01,31.67,30.01,31.55,31.3299,15255
2023-05-16,30.235,30.36,29.49,29.6,29.3935,14493
2023-05-15,29.85,31.0088,29.85,30.39,30.178,11076
2023-05-12,30.05,33.06,30.05,30.05,29.8404,15239
2023-05-11,29.6,30.7,29.6,29.88,29.6716,9866
2023-05-10,29.42,30.09,29.2,30.09,29.8801,16347
2023-05-09,28.995,29.6699,28.99,29.05,28.8474,2863
2023-05-08,30.3899,30.3899,29.25,29.41,29.2049,9495
2023-05-05,28.85,30.23,28.84,30.0,29.7907,19718
2023-05-04,28.24,28.43,27.745,28.32,28.1225,14570
2023-05-03,29.35,30.1299,28.62,28.62,28.4204,13882
2023-05-02,30.65,30.7992,28.66,29.2,28.9963,18929
2023-05-01,31.05,31.585,30.1,30.81,30.5951,19600
2023-04-28,31.2,31.33,31.0,31.33,31.1115,11895
2023-04-27,31.0,31.7,30.95,31.7,31.2306,7761
2023-04-26,31.04,31.4,30.51,30.84,30.3834,9742
2023-04-25,32.0,32.0,31.04,31.19,30.7282,4614
2023-04-24,32.57,32.81,32.2,32.2,31.7232,4728
2023-04-21,33.11,33.14,32.51,32.51,32.0286,8522
2023-04-20,32.9,33.24,32.73,33.24,32.7478,4037
2023-04-19,32.96,33.42,32.886,33.27,32.7774,7765
2023-04-18,32.0,32.34,32.0,32.25,31.7725,8435
2023-04-17,31.48,32.43,31.45,32.29,31.8119,6364
2023-04-14,32.98,33.285,31.73,31.73,31.2602,14728
2023-04-13,32.8,33.6513,32.8,32.85,32.3636,8170
2023-04-12,33.2,33.2,32.58,32.72,32.2355,6841
2023-04-11,32.59,33.74,32.59,33.15,32.6592,18878
2023-04-10,32.44,32.82,32.44,32.68,32.1961,11514
2023-04-06,32.38,32.92,32.34,32.5,32.0188,14801
2023-04-05,32.5,32.96,32.26,32.4,31.9203,20957
2023-04-04,32.82,33.02,32.65,32.83,32.3439,12738
2023-04-03,33.16,33.28,33.0,33.23,32.738,13894
2023-03-31,33.29,33.41,32.69,33.03,32.5409,15991
2023-03-30,34.44,34.44,32.86,32.86,32.3734,9724
2023-03-29,34.23,34.35,33.54,33.69,33.1912,9796
2023-03-28,34.33,35.13,34.0,34.19,33.6838,72167
2023-03-27,35.0,35.33,34.3,34.3,33.7921,7549
2023-03-24,33.55,34.84,33.55,34.58,34.068,12340
2023-03-23,34.9,34.9,33.5,33.97,33.467,27752
2023-03-22,34.5,35.0,33.92,34.3,33.7921,23591
2023-03-21,34.5,34.79,33.78,34.3,33.7921,16628
2023-03-20,32.44,33.0999,31.99,32.65,32.1666,23422
2023-03-17,34.03,34.03,31.86,31.86,31.3883,35811
2023-03-16,32.06,34.8,31.8797,34.8,34.2847,11636
2023-03-15,33.7699,33.7699,32.0,32.19,31.7134,6167
2023-03-14,34.23,34.665,32.9,32.95,32.4621,20310
2023-03-13,35.19,35.19,32.67,32.98,32.4917,10889
2023-03-10,35.89,36.135,35.22,35.67,35.1418,11800
2023-03-09,36.78,36.78,35.945,36.15,35.6147,31534
2023-03-08,37.22,37.3,36.295,37.2,36.6492,8770
2023-03-07,38.44,38.44,37.31,37.7,37.1418,11752
2023-03-06,39.14,39.14,37.48,38.45,37.8807,34769
2023-03-03,39.08,39.08,39.08,39.08,38.5013,2328
2023-03-02,38.7449,39.33,38.7449,39.1,38.5211,5831
2023-03-01,39.705,39.8899,39.28,39.36,38.7772,7842
2023-02-28,39.585,40.0,39.3724,39.55,38.9644,8053
2023-02-27,38.46,39.09,38.46,39.09,38.5112,3958
2023-02-24,39.06,39.235,38.85,39.04,38.4619,4469
2023-02-23,39.11,39.62,39.11,39.48,38.8954,5148
2023-02-22,39.55,39.575,38.95,39.12,38.5408,10181
2023-02-21,39.53,39.635,39.35,39.35,38.7673,8367
2023-02-17,39.34,40.5,39.11,39.85,39.2599,17321
2023-02-16,39.23,39.495,38.83,39.3,38.7181,11794
2023-02-15,39.4,39.6799,39.06,39.26,38.6787,9997
2023-02-14,39.86,39.905,39.28,39.445,38.8609,11843
2023-02-13,39.6,39.633,39.41,39.52,38.9348,6598
2023-02-10,39.42,39.6985,39.4,39.645,39.058,7201
2023-02-09,40.2,40.2,39.54,39.54,38.9545,3747
2023-02-08,40.26,40.43,39.87,40.11,39.5161,9729
2023-02-07,39.9,40.26,39.89,40.26,39.6639,9971
2023-02-06,40.02,40.19,39.16,39.67,39.0826,7826
2023-02-03,39.2,40.19,39.2,40.02,39.4274,7718
2023-02-02,38.71,39.71,38.67,39.48,38.6491,10177
2023-02-01,38.47,38.98,38.25,38.67,37.8562,22696
2023-01-31,37.67,38.99,37.67,38.4,37.5919,12749
2023-01-30,37.99,38.3,37.46,37.57,36.7793,10585
2023-01-27,38.8,38.8,37.71,37.99,37.1905,10668
2023-01-26,38.78,38.8,37.56,38.8,37.9834,13183
2023-01-25,39.0,39.7099,39.0,39.0,38.1792,5248
2023-01-24,39.25,39.25,38.86,39.07,38.2478,5377
2023-01-23,38.86,39.21,38.4801,39.2,38.375,11376
2023-01-20,38.8,39.275,38.8,39.275,38.4484,8728
2023-01-19,38.95,38.95,38.42,38.63,37.817,6747
2023-01-18,40.2299,40.2299,39.04,39.04,38.2184,4617
2023-01-17,40.07,40.1,40.06,40.1,39.2561,3841
2023-01-13,39.7049,40.69,39.7049,40.5,39.6477,5802
2023-01-12,39.46,40.06,39.44,39.87,39.0309,8852
2023-01-11,40.0,40.0,39.25,39.25,38.424,8673
2023-01-10,39.5,40.45,39.21,39.95,39.1092,12670
2023-01-09,40.1,40.12,39.44,39.54,38.7079,7216
2023-01-06,39.82,40.199,39.82,40.18,39.3344,13915
2023-01-05,39.81,39.84,39.28,39.69,38.8547,7823
2023-01-04,40.29,40.29,39.78,39.86,39.0211,5313
2023-01-03,40.19,40.47,39.71,40.1,39.2561,8729
2022-12-30,40.26,40.52,40.03,40.03,39.1876,8274
2022-12-29,40.32,40.7,40.1001,40.67,39.8141,4293
2022-12-28,40.235,40.235,39.78,40.01,39.168,3907
2022-12-27,40.65,40.75,40.1862,40.56,39.7064,3193
2022-12-23,40.8,40.8,40.8,40.8,39.9413,2253
2022-12-22,40.71,40.855,40.6,40.6,39.7456,5829
2022-12-21,40.85,41.7399,40.83,40.85,39.9903,10447
2022-12-20,40.57,40.785,40.56,40.56,39.7064,4373
2022-12-19,40.66,41.22,40.6,40.6,39.7456,7255
2022-12-16,39.9,40.97,39.55,40.96,40.098,41760
2022-12-15,41.26,41.26,40.28,40.53,39.677,6641
2022-12-14,42.67,42.67,41.28,41.28,40.4112,16127
2022-12-13,42.99,42.99,41.9,42.73,41.8307,25933
2022-12-12,41.648,42.47,41.45,42.31,41.4196,7976
2022-12-09,42.2,42.2,41.79,41.79,40.9105,7422
2022-12-08,42.59,42.6,42.5,42.5,41.6056,4262
2022-12-07,42.6,43.1399,42.29,42.29,41.4,5508
2022-12-06,41.95,42.9,41.95,42.85,41.9482,38694
2022-12-05,42.28,42.28,40.41,41.77,40.8909,11967
2022-12-02,42.9,43.1,42.296,42.98,42.0755,5460
2022-12-01,42.61,43.35,42.565,43.29,42.3789,8381
2022-11-30,42.3,42.98,41.68,42.98,42.0755,8984
