date,open,high,low,close,adjusted_close,volume
2023-07-31,79.7,81.23,79.32,80.69,80.69,444900
2023-07-28,81.39,83.81,77.16,80.06,80.06,997800
2023-07-27,83.95,84.6,81.54,82.37,82.37,424200
2023-07-26,84.71,84.97,83.85,84.04,84.04,263400
2023-07-25,86.05,86.62,85.33,85.37,85.37,271500
2023-07-24,87.73,87.98,86.24,86.44,86.44,200600
2023-07-21,88.75,89.12,87.58,87.63,87.63,248400
2023-07-20,85.5,88.33,85.04,88.31,88.31,250800
2023-07-19,85.04,86.25,84.98,85.6,85.6,242300
2023-07-18,86.71,86.9,84.51,85.4,85.4,380300
2023-07-17,86.93,88.22,86.5,86.76,86.76,200600
2023-07-14,86.38,87.08,85.64,86.93,86.93,180000
2023-07-13,87.18,87.18,85.78,86.32,86.32,360300
2023-07-12,89.21,89.21,86.8,86.81,86.81,243000
2023-07-11,88.37,88.93,87.96,88.37,88.37,222500
2023-07-10,86.87,88.45,86.87,88.34,88.34,296400
2023-07-07,86.68,87.86,86.67,87.15,87.15,303100
2023-07-06,87.14,87.33,86.13,86.98,86.98,261000
2023-07-05,88.0,88.7,87.52,87.58,87.58,242700
2023-07-03,90.07,90.07,88.28,88.36,88.36,117300
2023-06-30,87.69,90.88,87.69,90.45,90.45,395600
2023-06-29,86.63,87.71,86.31,87.38,87.38,616300
2023-06-28,86.88,86.96,86.24,86.61,86.61,217900
2023-06-27,86.29,86.93,86.03,86.6,86.6,419300
2023-06-26,85.5,86.44,85.03,86.24,86.24,315500
2023-06-23,85.8,87.0,85.49,85.63,85.63,1000700
2023-06-22,86.42,86.97,85.89,86.47,86.47,309700
2023-06-21,86.86,87.24,85.32,86.45,86.45,360400
2023-06-20,86.87,87.55,86.46,86.86,86.86,1072200
2023-06-16,87.29,87.5,86.49,86.82,86.82,952100
2023-06-15,87.53,87.84,86.43,86.77,86.77,694800
2023-06-14,86.99,88.3,85.92,87.41,87.41,2841900
2023-06-13,90.39,92.28,87.02,87.87,87.87,675400
2023-06-12,92.74,92.9,91.92,92.46,92.46,181100
2023-06-09,92.83,92.85,91.42,92.5,92.5,115700
2023-06-08,92.2,93.19,91.7,93.12,93.12,130500
2023-06-07,92.62,93.79,92.16,92.29,92.29,202500
2023-06-06,91.98,93.51,91.64,92.68,92.68,164800
2023-06-05,93.0,93.41,91.78,91.98,91.98,158200
2023-06-02,92.08,94.07,91.59,93.82,93.82,271600
2023-06-01,90.39,91.79,89.21,91.6,91.6,220300
2023-05-31,92.8,92.89,90.04,90.16,90.16,314900
2023-05-30,92.25,93.1,91.83,92.56,92.56,130000
2023-05-26,92.33,93.0,91.86,92.37,92.37,136500
2023-05-25,92.76,93.02,91.62,92.26,92.26,168200
2023-05-24,92.62,93.51,92.49,93.06,93.06,172600
2023-05-23,93.13,93.68,92.2,92.84,92.84,169800
2023-05-22,94.45,94.75,93.2,93.57,93.57,180800
2023-05-19,95.02,95.18,94.05,94.17,94.17,277000
2023-05-18,95.05,95.58,93.87,94.59,94.59,284700
2023-05-17,95.46,95.46,94.23,95.03,95.03,243500
2023-05-16,95.07,95.78,94.54,95.0,95.0,233600
2023-05-15,94.43,95.52,94.05,95.51,95.51,246500
2023-05-12,94.2,95.67,93.35,94.53,94.53,201700
2023-05-11,93.09,94.82,93.09,94.3,94.3,231700
2023-05-10,92.88,93.86,92.42,93.38,93.38,132500
2023-05-09,91.2,92.4,91.05,91.86,91.86,114500
2023-05-08,90.53,91.55,90.25,91.21,91.21,143900
2023-05-05,89.68,91.42,89.68,90.73,90.73,188600
2023-05-04,89.16,89.7,88.37,89.06,89.06,182300
2023-05-03,89.96,90.98,88.51,89.38,89.38,153500
2023-05-02,89.7,89.99,88.42,89.53,89.53,215400
2023-05-01,88.94,90.88,88.07,89.6,89.6,310900
2023-04-28,87.87,89.42,86.66,89.0,89.0,323500
2023-04-27,86.81,88.0,86.23,87.4,87.4,272900
2023-04-26,88.92,89.38,86.12,86.57,86.57,280300
2023-04-25,88.01,89.75,87.62,89.5,89.5,221700
2023-04-24,89.54,91.1,88.18,88.27,88.27,270700
2023-04-21,88.11,89.16,87.55,88.99,88.99,193900
2023-04-20,86.53,88.07,86.53,87.92,87.92,167200
2023-04-19,85.67,87.78,85.67,87.21,87.21,317134
2023-04-18,85.95,86.375,85.18,86.05,86.05,180605
2023-04-17,84.72,85.75,84.63,85.68,85.68,115064
2023-04-14,85.32,85.925,84.17,84.48,84.48,153378
2023-04-13,84.85,85.72,84.72,85.69,85.69,177518
2023-04-12,84.25,85.35,84.0201,84.88,84.88,214077
2023-04-11,83.55,84.95,82.93,83.89,83.89,263272
2023-04-10,81.35,83.6,81.01,83.55,83.55,250544
2023-04-06,82.02,82.1,81.285,81.8,81.8,109079
2023-04-05,81.49,82.09,81.015,81.81,81.81,159094
2023-04-04,82.09,82.09,80.56,81.18,81.18,175591
2023-04-03,82.08,82.39,80.89,81.86,81.86,246469
2023-03-31,81.21,82.75,81.21,82.66,82.66,279394
2023-03-30,80.51,81.28,80.51,80.79,80.79,126370
2023-03-29,80.3,80.935,80.13,80.37,80.37,212921
