date,open,high,low,close,adjusted_close,volume
2023-07-31,53.13,53.54,52.77,53.18,53.18,1585400
2023-07-28,52.54,53.34,52.31,53.02,53.02,505400
2023-07-27,53.92,54.04,52.07,52.14,52.14,899800
2023-07-26,53.44,54.12,53.38,53.68,53.68,726200
2023-07-25,53.5,54.03,52.73,52.83,52.83,874500
2023-07-24,52.45,53.52,52.41,53.36,53.36,462100
2023-07-21,52.86,53.11,52.16,52.57,52.57,663033
2023-07-20,53.91,53.91,51.33,52.55,52.55,1064806
2023-07-19,53.33,54.99,51.01,53.64,53.64,935157
2023-07-18,49.54,51.09,49.38,50.96,50.96,716517
2023-07-17,49.03,49.81,48.72,49.54,49.54,571531
2023-07-14,50.56,50.56,48.115,48.92,48.92,654872
2023-07-13,49.74,50.61,49.61,49.98,49.98,465567
2023-07-12,49.98,50.44,49.44,49.5,49.5,857564
2023-07-11,49.26,49.6,48.82,49.33,49.33,565253
2023-07-10,48.55,49.97,48.35,49.22,49.22,453081
2023-07-07,47.79,48.82,47.47,48.64,48.64,982785
2023-07-06,48.63,48.66,47.55,48.07,48.07,534695
2023-07-05,48.81,49.94,48.79,49.03,49.03,588186
2023-07-03,48.59,49.75,48.59,49.26,49.26,473273
2023-06-30,48.31,49.09,48.14,48.7,48.7,1146672
2023-06-29,46.99,48.03,46.81,47.97,47.97,507342
2023-06-28,46.94,46.94,46.3112,46.7,46.7,420064
2023-06-27,46.78,47.46,46.0304,47.11,47.11,405216
2023-06-26,45.86,46.86,45.86,46.63,46.63,470898
2023-06-23,46.08,46.48,45.5502,45.69,45.69,657044
2023-06-22,47.52,47.52,46.09,46.38,46.38,394088
2023-06-21,48.27,48.27,47.55,47.64,47.64,485412
2023-06-20,49.41,49.555,48.33,48.42,48.42,522434
2023-06-16,50.71,50.71,49.41,49.64,49.64,1488015
2023-06-15,48.92,50.49,48.92,50.26,50.26,662740
2023-06-14,50.88,51.25,49.017,49.16,49.16,703443
2023-06-13,50.27,51.54,50.18,50.83,50.83,434521
2023-06-12,51.42,52.07,49.66,50.27,50.27,468719
2023-06-09,51.21,51.26,50.61,51.01,51.01,361215
2023-06-08,51.88,51.88,50.92,51.44,51.44,522599
2023-06-07,50.85,52.3,50.47,52.04,52.04,480644
2023-06-06,48.56,50.82,48.425,50.47,50.47,561543
2023-06-05,50.03,50.06,47.97,48.35,48.35,737847
2023-06-02,48.93,50.7,48.79,50.57,50.57,535522
2023-06-01,48.26,49.03,47.521,48.66,48.39,407721
2023-05-31,48.47,48.67,47.05,47.95,47.6839,1030698
2023-05-30,48.77,49.05,48.045,48.75,48.4795,443544
2023-05-26,48.33,48.65,47.51,48.61,48.3403,336499
2023-05-25,47.63,48.39,47.31,48.3,48.032,518079
2023-05-24,48.62,48.62,47.78,47.95,47.6839,543849
2023-05-23,49.13,50.02,48.73,48.77,48.4994,444245
2023-05-22,49.18,49.47,48.52,49.11,48.8375,538430
2023-05-19,50.12,50.64,48.25,48.63,48.3602,673956
2023-05-18,50.06,50.44,49.15,49.65,49.3745,613405
2023-05-17,49.04,50.87,48.76,50.17,49.8916,868389
2023-05-16,48.75,49.32,48.31,48.33,48.0618,461872
2023-05-15,48.92,50.0,48.66,49.75,49.474,371906
2023-05-12,48.91,49.08,48.01,48.75,48.4795,337694
2023-05-11,48.75,49.25,48.26,48.53,48.2607,474309
2023-05-10,51.19,51.19,48.7501,49.34,49.0662,606609
2023-05-09,50.5,50.91,50.16,50.49,50.2098,435705
2023-05-08,52.03,52.11,50.45,50.92,50.6375,518721
2023-05-05,52.61,52.61,51.07,51.53,51.2441,902083
2023-05-04,52.15,52.3,50.36,50.64,50.359,1271154
2023-05-03,53.89,55.3,52.755,53.1,52.8054,900887
2023-05-02,55.27,55.525,53.01,53.68,53.3821,894604
2023-05-01,55.67,55.9099,55.05,55.53,55.2219,634863
2023-04-28,55.26,56.55,54.79,55.85,55.5401,1970496
2023-04-27,53.38,55.38,53.38,55.26,54.9534,664231
2023-04-26,52.37,53.4,52.2278,53.31,53.0142,704106
2023-04-25,53.66,54.13,52.2083,52.4,52.1092,534157
2023-04-24,54.11,54.86,53.97,54.31,54.0086,400428
2023-04-21,54.48,54.81,53.85,54.57,54.2672,481621
2023-04-20,54.0,54.76,53.985,54.37,54.0683,492242
2023-04-19,54.23,54.64,53.18,54.38,54.0783,828968
2023-04-18,56.76,56.8,53.84,54.28,53.9788,702743
2023-04-17,55.1,56.48,54.66,56.44,56.1268,587985
2023-04-14,56.56,57.01,54.805,55.14,54.834,545786
2023-04-13,55.44,56.27,54.9616,55.99,55.6793,608019
2023-04-12,56.12,56.95,55.12,55.44,55.1324,511335
2023-04-11,56.36,56.5,55.72,55.81,55.5003,473224
2023-04-10,56.0,56.79,55.6416,56.31,55.9976,461637
2023-04-06,56.89,57.365,56.07,56.35,56.0373,701692
2023-04-05,57.3,58.165,56.67,57.12,56.8031,540766
2023-04-04,58.95,58.95,57.5311,58.25,57.9268,402877
2023-04-03,58.58,58.97,58.02,58.79,58.4638,528241
2023-03-31,58.96,59.08,58.21,58.35,58.0262,1279775
2023-03-30,59.85,59.85,58.18,58.27,57.9467,341750
2023-03-29,59.05,59.43,58.3615,59.37,59.0406,497799
2023-03-28,57.87,58.78,57.63,58.52,58.1953,473106
2023-03-27,59.34,59.495,58.01,58.06,57.7378,530701
2023-03-24,56.09,57.96,55.72,57.79,57.4693,508977
2023-03-23,58.57,58.6162,56.29,56.6,56.2859,634880
2023-03-22,60.41,60.82,57.92,57.99,57.6682,481409
2023-03-21,60.64,62.0,59.78,60.74,60.403,705113
2023-03-20,59.0,60.17,58.45,58.84,58.5135,556795
2023-03-17,60.01,60.01,57.86,58.14,57.8174,1047773
2023-03-16,58.7,62.02,57.96,60.62,60.2836,838566
2023-03-15,58.01,59.98,57.55,59.24,58.9113,879525
2023-03-14,61.86,62.66,59.22,59.86,59.5279,959834
2023-03-13,58.22,60.28,55.8326,58.86,58.5334,1591521
2023-03-10,60.11,62.15,59.61,60.63,60.2936,846786
2023-03-09,63.32,63.36,61.43,61.62,61.2781,674697
2023-03-08,63.78,64.3,63.36,63.79,63.436,247858
2023-03-07,65.0,65.01,63.51,63.76,63.4062,349798
2023-03-06,65.39,65.97,65.0,65.27,64.9078,373989
2023-03-03,65.56,66.12,64.92,66.02,65.3852,346511
2023-03-02,65.47,65.48,64.57,65.36,64.7315,473103
2023-03-01,65.56,65.925,65.14,65.68,65.0484,442270
2023-02-28,66.86,67.205,66.13,66.15,65.5139,635466
2023-02-27,66.89,67.37,66.59,66.67,66.0289,339704
2023-02-24,65.7,66.88,65.36,66.76,66.1181,454157
2023-02-23,66.04,66.5,65.59,65.87,65.2366,335471
2023-02-22,66.36,66.62,65.85,66.02,65.3852,462093
2023-02-21,66.95,67.155,66.12,66.34,65.7021,352346
2023-02-17,66.44,67.35,66.29,67.02,66.3756,397765
2023-02-16,66.27,66.9815,66.16,66.3,65.6625,323048
2023-02-15,66.31,66.97,66.0,66.87,66.227,279082
2023-02-14,66.7,67.01,65.91,66.43,65.7912,245183
2023-02-13,66.36,67.06,66.27,66.9,66.2567,284644
2023-02-10,66.6,66.79,66.1,66.59,65.9497,499486
2023-02-09,67.27,67.68,66.34,66.37,65.7318,386551
2023-02-08,67.4,67.835,66.79,66.83,66.1874,327544
